BECvar_site,BECvar_seed,HTp_pred
futAP11,AP11,0.902068984
futAP11,BSA11,0.615564511
futAP11,BSA12,0.655799022
futAP11,CM11,0.883136494
futAP11,CM12,0.940261811
futAP11,CM13,0.899952956
futAP11,CM21,0.921857617
futAP11,CM22,0.907010374
futAP11,CM23,0.903684388
futAP11,CM24,0.880551917
futAP11,CM31,0.863637602
futAP11,CM32,0.793360783
futAP11,CM33,0.792792364
futAP11,CM34,0.692471697
futAP11,CM35,0.616306159
futAP11,CP11,0.817293536
futAP11,CP12,0.76676938
futAP11,DM11,0.950103491
futAP11,DM12,0.882459143
futAP11,DM13,0.837758744
futAP11,DM21,0.872628183
futAP11,DM22,0.77419833
futAP11,DM23,0.581766879
futAP11,DMG11,0.657853581
futAP11,FF11,0.56820242
futAP11,FP11,0.497269149
futAP11,FP12,0.358196689
futAP11,KU11,0.77804046
futAP11,LBH11,0.846459646
futAP11,LBH12,0.748364836
futAP11,LBH13,0.806679972
futAP11,LBH14,0.846744315
futAP11,LBH15,0.812604046
futAP11,LBH16,0.81222379
futAP11,LBH21,0.714241655
futAP11,LF11,0.722449261
futAP11,LF12,0.701599874
futAP11,LF13,0.557792145
futAP11,LF14,0.532099278
futAP11,LF15,0.566306799
futAP11,LF21,0.493372784
futAP11,LF22,0.49324191
futAP11,LF23,0.439673554
futAP11,M11,0.523075861
futAP11,M21,0.403781409
futAP11,M22,0.540706046
futAP11,M32,0.460465079
futAP11,M41,0.400417138
futAP11,M42,0.271574552
futAP11,M43,0.437278852
futAP11,M44,0.416114095
futAP11,M45,0.41269642
futAP11,M51,0.346930823
futAP11,M53,0.346489079
futAP11,M54,0.352670023
futAP11,M55,0.370609645
futAP11,M56,0.32788839
futAP11,MG11,0.626243455
futAP11,MG12,0.520624966
futAP11,MG13,0.575182141
futAP11,NF11,0.778888735
futAP11,NM11,0.789650949
futAP11,NM21,0.749210887
futAP11,PAD11,0.887584081
futAP11,PRP11,0.842248201
futAP11,SA11,0.272416086
futAP11,SA12,0.254339312
futAP11,SA21,0.156329854
futAP11,SA22,0.150169839
futAP11,SA31,0.230993198
futAP11,SA32,0.273454056
futAP11,SA33,0.241839487
futAP11,SA41,0.145850649
futAP11,SA42,0.18347594
futAP11,SA43,0.15786999
futAP11,UBH11,0.73385345
futAP11,UBH12,0.783377622
futAP11,UBH13,0.671293709
futAP11,UF11,0.394260711
futAP11,UF12,0.423226603
futAP11,UF13,0.384088616
futAP11,UF14,0.386321021
futAP11,UF15,0.396671799
futAP11,UF24,0.328926061
futAP11,UF25,0.311511755
futBSA11,AP11,0.907411224
futBSA11,BSA11,0.904062683
futBSA11,BSA12,0.890570653
futBSA11,CM11,0.865981667
futBSA11,CM12,0.917910026
futBSA11,CM13,0.92537129
futBSA11,CM21,0.949784536
futBSA11,CM22,0.956064557
futBSA11,CM23,0.959527382
futBSA11,CM24,0.936249912
futBSA11,CM31,0.910687208
futBSA11,CM32,0.835621971
futBSA11,CM33,0.86238713
futBSA11,CM34,0.754066157
futBSA11,CM35,0.662840895
futBSA11,CP11,0.786812806
futBSA11,CP12,0.741044682
futBSA11,DM11,0.900179253
futBSA11,DM12,0.906015044
futBSA11,DM13,0.849599392
futBSA11,DM21,0.840411627
futBSA11,DM22,0.780258608
futBSA11,DM23,0.64697648
futBSA11,DMG11,0.505127139
futBSA11,FF11,0.575532414
futBSA11,FP11,0.594184045
futBSA11,FP12,0.448991867
futBSA11,KU11,0.822133866
futBSA11,LBH11,0.953896677
futBSA11,LBH12,0.935340099
futBSA11,LBH13,0.97947935
futBSA11,LBH14,0.980174087
futBSA11,LBH15,0.942728261
futBSA11,LBH16,0.955785836
futBSA11,LBH21,0.923568658
futBSA11,LF11,0.879755849
futBSA11,LF12,0.795587821
futBSA11,LF13,0.647389199
futBSA11,LF14,0.620295093
futBSA11,LF15,0.642485981
futBSA11,LF21,0.604999243
futBSA11,LF22,0.605822505
futBSA11,LF23,0.57779048
futBSA11,M11,0.59647393
futBSA11,M21,0.531878182
futBSA11,M22,0.658983647
futBSA11,M32,0.629933511
futBSA11,M41,0.601165609
futBSA11,M42,0.491085324
futBSA11,M43,0.599112799
futBSA11,M44,0.559050477
futBSA11,M45,0.536188484
futBSA11,M51,0.566422335
futBSA11,M53,0.552956567
futBSA11,M54,0.53366307
futBSA11,M55,0.526105702
futBSA11,M56,0.46722516
futBSA11,MG11,0.545253229
futBSA11,MG12,0.420695618
futBSA11,MG13,0.526789687
futBSA11,NF11,0.700688271
futBSA11,NM11,0.843402417
futBSA11,NM21,0.914180138
futBSA11,PAD11,0.854740866
futBSA11,PRP11,0.845382249
futBSA11,SA11,0.448242591
futBSA11,SA12,0.463684097
futBSA11,SA21,0.321217223
futBSA11,SA22,0.331682473
futBSA11,SA31,0.441816719
futBSA11,SA32,0.475001628
futBSA11,SA33,0.403719028
futBSA11,SA41,0.326284142
futBSA11,SA42,0.375409652
futBSA11,SA43,0.304005224
futBSA11,UBH11,0.968228304
futBSA11,UBH12,0.983497499
futBSA11,UBH13,0.900838116
futBSA11,UF11,0.522147393
futBSA11,UF12,0.561994912
futBSA11,UF13,0.521781836
futBSA11,UF14,0.548327195
futBSA11,UF15,0.572584941
futBSA11,UF24,0.526412501
futBSA11,UF25,0.513756703
futBSA12,AP11,0.958755286
futBSA12,BSA11,0.883242221
futBSA12,BSA12,0.901663298
futBSA12,CM11,0.932174931
futBSA12,CM12,0.962946312
futBSA12,CM13,0.969259668
futBSA12,CM21,0.965149606
futBSA12,CM22,0.961968924
futBSA12,CM23,0.960815134
futBSA12,CM24,0.921788371
futBSA12,CM31,0.89058705
futBSA12,CM32,0.796615339
futBSA12,CM33,0.821719745
futBSA12,CM34,0.70178396
futBSA12,CM35,0.606158975
futBSA12,CP11,0.76997782
futBSA12,CP12,0.722839478
futBSA12,DM11,0.949334125
futBSA12,DM12,0.910421611
futBSA12,DM13,0.831428537
futBSA12,DM21,0.83435993
futBSA12,DM22,0.745431307
futBSA12,DM23,0.589553357
futBSA12,DMG11,0.54318939
futBSA12,FF11,0.543682259
futBSA12,FP11,0.537799423
futBSA12,FP12,0.384669996
futBSA12,KU11,0.893109418
futBSA12,LBH11,0.979313831
futBSA12,LBH12,0.950882693
futBSA12,LBH13,0.959959515
futBSA12,LBH14,0.970840548
futBSA12,LBH15,0.907576124
futBSA12,LBH16,0.935043089
futBSA12,LBH21,0.93628671
futBSA12,LF11,0.816587002
futBSA12,LF12,0.746919567
futBSA12,LF13,0.580059256
futBSA12,LF14,0.553756404
futBSA12,LF15,0.577898648
futBSA12,LF21,0.532860657
futBSA12,LF22,0.532593417
futBSA12,LF23,0.503616629
futBSA12,M11,0.564054392
futBSA12,M21,0.46552032
futBSA12,M22,0.616650712
futBSA12,M32,0.559779307
futBSA12,M41,0.524142847
futBSA12,M42,0.402065868
futBSA12,M43,0.530013794
futBSA12,M44,0.487142714
futBSA12,M45,0.471430882
futBSA12,M51,0.485286994
futBSA12,M53,0.469825371
futBSA12,M54,0.452540212
futBSA12,M55,0.451660894
futBSA12,M56,0.393730976
futBSA12,MG11,0.545072427
futBSA12,MG12,0.429388427
futBSA12,MG13,0.534876848
futBSA12,NF11,0.710025619
futBSA12,NM11,0.909076347
futBSA12,NM21,0.943946236
futBSA12,PAD11,0.924177989
futBSA12,PRP11,0.838173646
futBSA12,SA11,0.367088739
futBSA12,SA12,0.376308569
futBSA12,SA21,0.247137006
futBSA12,SA22,0.254625654
futBSA12,SA31,0.354420171
futBSA12,SA32,0.39072355
futBSA12,SA33,0.325648118
futBSA12,SA41,0.249278254
futBSA12,SA42,0.294862941
futBSA12,SA43,0.232884938
futBSA12,UBH11,0.93728552
futBSA12,UBH12,0.958336619
futBSA12,UBH13,0.839013875
futBSA12,UF11,0.444830275
futBSA12,UF12,0.482716814
futBSA12,UF13,0.445962509
futBSA12,UF14,0.465414023
futBSA12,UF15,0.489283719
futBSA12,UF24,0.438621816
futBSA12,UF25,0.424870721
futCM11,AP11,0.908135634
futCM11,BSA11,0.604154357
futCM11,BSA12,0.655664259
futCM11,CM11,0.899968976
futCM11,CM12,0.941591898
futCM11,CM13,0.904197127
futCM11,CM21,0.906885358
futCM11,CM22,0.888287904
futCM11,CM23,0.884269282
futCM11,CM24,0.852845723
futCM11,CM31,0.834692983
futCM11,CM32,0.755222919
futCM11,CM33,0.755996973
futCM11,CM34,0.653252271
futCM11,CM35,0.575293412
futCM11,CP11,0.790286536
futCM11,CP12,0.742814686
futCM11,DM11,0.954294268
futCM11,DM12,0.869874989
futCM11,DM13,0.811725215
futCM11,DM21,0.849744715
futCM11,DM22,0.737992179
futCM11,DM23,0.54503167
futCM11,DMG11,0.675062855
futCM11,FF11,0.545647777
futCM11,FP11,0.469429285
futCM11,FP12,0.326601853
futCM11,KU11,0.800813125
futCM11,LBH11,0.844437514
futCM11,LBH12,0.74642728
futCM11,LBH13,0.783622324
futCM11,LBH14,0.828141282
futCM11,LBH15,0.780868599
futCM11,LBH16,0.792135923
futCM11,LBH21,0.712259113
futCM11,LF11,0.680453493
futCM11,LF12,0.668939936
futCM11,LF13,0.516498412
futCM11,LF14,0.492668484
futCM11,LF15,0.525231814
futCM11,LF21,0.454756745
futCM11,LF22,0.453922252
futCM11,LF23,0.406001945
futCM11,M11,0.508386094
futCM11,M21,0.375624422
futCM11,M22,0.523734732
futCM11,M32,0.432916577
futCM11,M41,0.374268941
futCM11,M42,0.245597515
futCM11,M43,0.410573651
futCM11,M44,0.385726309
futCM11,M45,0.384594226
futCM11,M51,0.322219574
futCM11,M53,0.319420097
futCM11,M54,0.323367649
futCM11,M55,0.341380286
futCM11,M56,0.298338804
futCM11,MG11,0.618329862
futCM11,MG12,0.520957581
futCM11,MG13,0.578152025
futCM11,NF11,0.772157063
futCM11,NM11,0.810740322
futCM11,NM21,0.752944535
futCM11,PAD11,0.905279656
futCM11,PRP11,0.824330383
futCM11,SA11,0.245394996
futCM11,SA12,0.228772205
futCM11,SA21,0.136920471
futCM11,SA22,0.131655797
futCM11,SA31,0.206736271
futCM11,SA32,0.247935478
futCM11,SA33,0.215727764
futCM11,SA41,0.127459292
futCM11,SA42,0.162829192
futCM11,SA43,0.137095305
futCM11,UBH11,0.710671311
futCM11,UBH12,0.76130942
futCM11,UBH13,0.640748902
futCM11,UF11,0.357344748
futCM11,UF12,0.385961203
futCM11,UF13,0.350858094
futCM11,UF14,0.35149612
futCM11,UF15,0.36340315
futCM11,UF24,0.298372767
futCM11,UF25,0.28166748
futCM12,AP11,0.851229815
futCM12,BSA11,0.563718808
futCM12,BSA12,0.596293562
futCM12,CM11,0.828950153
futCM12,CM12,0.902657326
futCM12,CM13,0.854370733
futCM12,CM21,0.891849332
futCM12,CM22,0.879638794
futCM12,CM23,0.882271047
futCM12,CM24,0.869410947
futCM12,CM31,0.864423615
futCM12,CM32,0.81001792
futCM12,CM33,0.80284054
futCM12,CM34,0.718747974
futCM12,CM35,0.653726697
futCM12,CP11,0.848558997
futCM12,CP12,0.805134736
futCM12,DM11,0.917476017
futCM12,DM12,0.877138153
futCM12,DM13,0.852230173
futCM12,DM21,0.890586247
futCM12,DM22,0.8034603
futCM12,DM23,0.619280501
futCM12,DMG11,0.699711881
futCM12,FF11,0.615883686
futCM12,FP11,0.531614659
futCM12,FP12,0.393275125
futCM12,KU11,0.710970316
futCM12,LBH11,0.79802907
futCM12,LBH12,0.691922717
futCM12,LBH13,0.77082892
futCM12,LBH14,0.818544581
futCM12,LBH15,0.800152246
futCM12,LBH16,0.793698388
futCM12,LBH21,0.656313537
futCM12,LF11,0.722474199
futCM12,LF12,0.719853677
futCM12,LF13,0.587302311
futCM12,LF14,0.563135307
futCM12,LF15,0.600477167
futCM12,LF21,0.52283082
futCM12,LF22,0.524273894
futCM12,LF23,0.467253524
futCM12,M11,0.556660202
futCM12,M21,0.427685768
futCM12,M22,0.560140083
futCM12,M32,0.478348762
futCM12,M41,0.412781439
futCM12,M42,0.278732571
futCM12,M43,0.459344583
futCM12,M44,0.443483655
futCM12,M45,0.443260831
futCM12,M51,0.3544014
futCM12,M53,0.360095343
futCM12,M54,0.372485019
futCM12,M55,0.396494647
futCM12,M56,0.353129252
futCM12,MG11,0.6791115
futCM12,MG12,0.575449257
futCM12,MG13,0.616411417
futCM12,NF11,0.816884721
futCM12,NM11,0.72617354
futCM12,NM21,0.688459041
futCM12,PAD11,0.832494968
futCM12,PRP11,0.854343284
futCM12,SA11,0.286324875
futCM12,SA12,0.262231268
futCM12,SA21,0.162867097
futCM12,SA22,0.153990401
futCM12,SA31,0.238028718
futCM12,SA32,0.286099992
futCM12,SA33,0.258324708
futCM12,SA41,0.149751486
futCM12,SA42,0.190795853
futCM12,SA43,0.169205972
futCM12,UBH11,0.693153906
futCM12,UBH12,0.750623158
futCM12,UBH13,0.660807012
futCM12,UF11,0.419583186
futCM12,UF12,0.449371992
futCM12,UF13,0.408442613
futCM12,UF14,0.408104034
futCM12,UF15,0.417599978
futCM12,UF24,0.34415734
futCM12,UF25,0.325436423
futCM13,AP11,0.897388822
futCM13,BSA11,0.625960653
futCM13,BSA12,0.661095388
futCM13,CM11,0.876802348
futCM13,CM12,0.941042577
futCM13,CM13,0.902011125
futCM13,CM21,0.928717052
futCM13,CM22,0.916788076
futCM13,CM23,0.91864352
futCM13,CM24,0.899828653
futCM13,CM31,0.890425273
futCM13,CM32,0.825918073
futCM13,CM33,0.824678714
futCM13,CM34,0.731980617
futCM13,CM35,0.658197563
futCM13,CP11,0.856055993
futCM13,CP12,0.811287959
futCM13,DM11,0.952896521
futCM13,DM12,0.910099411
futCM13,DM13,0.871969745
