BECvar_site,BECvar_seed,HTp_pred
futAP11,AP11,0.821712277
futAP11,BSA11,0.520916206
futAP11,BSA12,0.555721988
futAP11,CM11,0.800564566
futAP11,CM12,0.901
futAP11,CM13,0.820432189
futAP11,CM21,0.901
futAP11,CM22,0.84264521
futAP11,CM23,0.842971491
futAP11,CM24,0.829002581
futAP11,CM31,0.822114103
futAP11,CM32,0.768969003
futAP11,CM33,0.759543285
futAP11,CM34,0.676357052
futAP11,CM35,0.614353246
futAP11,CP11,0.80977215
futAP11,CP12,0.764903117
futAP11,DM11,0.901
futAP11,DM12,0.833660694
futAP11,DM13,0.8102718
futAP11,DM21,0.901
futAP11,DM22,0.764109208
futAP11,DM23,0.576965981
futAP11,DMG11,0.675762895
futAP11,FF11,0.576748417
futAP11,FP11,0.487340387
futAP11,FP12,0.361445974
futAP11,KU11,0.68178339
futAP11,LBH11,0.758327794
futAP11,LBH12,0.650475164
futAP11,LBH13,0.726928283
futAP11,LBH14,0.773705164
futAP11,LBH15,0.754309796
futAP11,LBH16,0.744631745
futAP11,LBH21,0.615090431
futAP11,LF11,0.676856532
futAP11,LF12,0.672742071
futAP11,LF13,0.546543256
futAP11,LF14,0.522856817
futAP11,LF15,0.559955452
futAP11,LF21,0.481567571
futAP11,LF22,0.483322571
futAP11,LF23,0.424969978
futAP11,M11,0.512349413
futAP11,M21,0.386651803
futAP11,M22,0.510403286
futAP11,M32,0.432111381
futAP11,M41,0.368664175
futAP11,M42,0.245037751
futAP11,M43,0.414327637
futAP11,M44,0.40221159
futAP11,M45,0.404109538
futAP11,M51,0.314428055
futAP11,M53,0.320254423
futAP11,M54,0.334026872
futAP11,M55,0.358834659
futAP11,M56,0.319830972
futAP11,MG11,0.646218415
futAP11,MG12,0.549314998
futAP11,MG13,0.580413907
futAP11,NF11,0.77983077
futAP11,NM11,0.693800839
futAP11,NM21,0.64990839
futAP11,PAD11,0.806566886
futAP11,PRP11,0.810980755
futAP11,SA11,0.253864283
futAP11,SA12,0.230784764
futAP11,SA21,0.14119778
futAP11,SA22,0.133044472
futAP11,SA31,0.2085412
futAP11,SA32,0.253157288
futAP11,SA33,0.230254715
futAP11,SA41,0.129316055
futAP11,SA42,0.166208499
futAP11,SA43,0.1488549
futAP11,UBH11,0.64799903
futAP11,UBH12,0.70392268
futAP11,UBH13,0.609336225
futAP11,UF11,0.38329923
futAP11,UF12,0.410134118
futAP11,UF13,0.37039975
futAP11,UF14,0.369157042
futAP11,UF15,0.376540259
futAP11,UF24,0.306947479
futAP11,UF25,0.289436718
futBSA11,AP11,0.892052327
futBSA11,BSA11,0.825027026
futBSA11,BSA12,0.81450381
futBSA11,CM11,0.847720171
futBSA11,CM12,0.919618919
futBSA11,CM13,0.910443109
futBSA11,CM21,0.952357474
futBSA11,CM22,0.957418519
futBSA11,CM23,0.964810121
futBSA11,CM24,0.949676799
futBSA11,CM31,0.934058276
futBSA11,CM32,0.871941317
futBSA11,CM33,0.889517624
futBSA11,CM34,0.792516972
futBSA11,CM35,0.710807824
futBSA11,CP11,0.840162645
futBSA11,CP12,0.796904638
futBSA11,DM11,0.908772902
futBSA11,DM12,0.923034912
futBSA11,DM13,0.885348406
futBSA11,DM21,0.884474535
futBSA11,DM22,0.829184961
futBSA11,DM23,0.690559346
futBSA11,DMG11,0.561240531
futBSA11,FF11,0.629526336
futBSA11,FP11,0.627112854
futBSA11,FP12,0.486730754
futBSA11,KU11,0.778375728
futBSA11,LBH11,0.922086827
futBSA11,LBH12,0.877243072
futBSA11,LBH13,0.951174037
futBSA11,LBH14,0.96554825
futBSA11,LBH15,0.942614092
futBSA11,LBH16,0.944575841
futBSA11,LBH21,0.858280149
futBSA11,LF11,0.886927376
futBSA11,LF12,0.82134629
futBSA11,LF13,0.682079982
futBSA11,LF14,0.655345745
futBSA11,LF15,0.683252218
futBSA11,LF21,0.634977924
futBSA11,LF22,0.638335605
futBSA11,LF23,0.60078241
futBSA11,M11,0.630225223
futBSA11,M21,0.547936623
futBSA11,M22,0.670587991
futBSA11,M32,0.636330533
futBSA11,M41,0.595707603
futBSA11,M42,0.476201524
futBSA11,M43,0.611176231
futBSA11,M44,0.581337516
futBSA11,M45,0.564812956
futBSA11,M51,0.552164434
futBSA11,M53,0.549767912
futBSA11,M54,0.543496874
futBSA11,M55,0.547770001
futBSA11,M56,0.489580836
futBSA11,MG11,0.607244459
futBSA11,MG12,0.479582062
futBSA11,MG13,0.574397193
futBSA11,NF11,0.757285901
futBSA11,NM11,0.800580719
futBSA11,NM21,0.856021633
futBSA11,PAD11,0.838750299
futBSA11,PRP11,0.877515973
futBSA11,SA11,0.448718853
futBSA11,SA12,0.451953638
futBSA11,SA21,0.311303849
futBSA11,SA22,0.31532948
futBSA11,SA31,0.42844025
futBSA11,SA32,0.472588884
futBSA11,SA33,0.41258929
futBSA11,SA41,0.310431491
futBSA11,SA42,0.365180107
futBSA11,SA43,0.307381591
futBSA11,UBH11,0.92127572
futBSA11,UBH12,0.952526406
futBSA11,UBH13,0.880629413
futBSA11,UF11,0.545388856
futBSA11,UF12,0.585374211
futBSA11,UF13,0.540829015
futBSA11,UF14,0.56318338
futBSA11,UF15,0.584492569
futBSA11,UF24,0.528044239
futBSA11,UF25,0.51304213
futBSA12,AP11,0.938629112
futBSA12,BSA11,0.803365813
futBSA12,BSA12,0.821099671
futBSA12,CM11,0.908063322
futBSA12,CM12,0.960979815
futBSA12,CM13,0.949657825
futBSA12,CM21,0.965027781
futBSA12,CM22,0.960803776
futBSA12,CM23,0.963521993
futBSA12,CM24,0.933097801
futBSA12,CM31,0.911550117
futBSA12,CM32,0.830345237
futBSA12,CM33,0.846571807
futBSA12,CM34,0.737141926
futBSA12,CM35,0.649916523
futBSA12,CP11,0.820283323
futBSA12,CP12,0.775264548
futBSA12,DM11,0.954506797
futBSA12,DM12,0.924503107
futBSA12,DM13,0.86455245
futBSA12,DM21,0.875813005
