BECvar_site,BECvar_seed,HTp_pred
AP11,AP11,0.866648846
AP11,BSA11,0.647958853
AP11,BSA12,0.653960577
AP11,CM11,0.843216208
AP11,CM12,0.912413982
AP11,CM13,0.870255818
AP11,CM21,0.911454015
AP11,CM22,0.904831225
AP11,CM23,0.910943803
AP11,CM24,0.900949665
AP11,CM31,0.893794322
AP11,CM32,0.857605518
AP11,CM33,0.86169015
AP11,CM34,0.794431725
AP11,CM35,0.727342705
AP11,CP11,0.857704489
AP11,CP12,0.813668833
AP11,DM11,0.924983987
AP11,DM12,0.908736055
AP11,DM13,0.891467949
AP11,DM21,0.897949095
AP11,DM22,0.841456179
AP11,DM23,0.695330895
AP11,DMG11,0.653748403
AP11,FF11,0.655271453
AP11,FP11,0.624556856
AP11,FP12,0.487080557
AP11,KU11,0.733586892
AP11,LBH11,0.828394782
AP11,LBH12,0.738368038
AP11,LBH13,0.826410054
AP11,LBH14,0.868386728
AP11,LBH15,0.854578999
AP11,LBH16,0.857017412
AP11,LBH21,0.707670459
AP11,LF11,0.805324962
AP11,LF12,0.806292258
AP11,LF13,0.692933361
AP11,LF14,0.671855038
AP11,LF15,0.690461667
AP11,LF21,0.640274665
AP11,LF22,0.634660323
AP11,LF23,0.591739852
AP11,M11,0.627479698
AP11,M21,0.561719418
AP11,M22,0.655460093
AP11,M32,0.610305046
AP11,M41,0.550994183
AP11,M42,0.44604757
AP11,M43,0.584890808
AP11,M44,0.567312611
AP11,M45,0.551849979
AP11,M51,0.500412362
AP11,M53,0.521141134
AP11,M54,0.527749685
AP11,M55,0.548249942
AP11,M56,0.473373912
AP11,MG11,0.670167077
AP11,MG12,0.565729406
AP11,MG13,0.618213047
AP11,NF11,0.799864938
AP11,NM11,0.7469403
AP11,NM21,0.726030516
AP11,PAD11,0.847745074
AP11,PRP11,0.890114313
AP11,SA11,0.461789277
AP11,SA12,0.442874563
AP11,SA21,0.344552055
AP11,SA22,0.341567489
AP11,SA31,0.422723231
AP11,SA32,0.467927651
AP11,SA33,0.408788457
AP11,SA41,0.335814119
AP11,SA42,0.396139637
AP11,SA43,0.342070551
AP11,UBH11,0.767270492
AP11,UBH12,0.822254103
AP11,UBH13,0.776927789
AP11,UF11,0.564892588
AP11,UF12,0.59754138
AP11,UF13,0.55734665
AP11,UF14,0.559493994
AP11,UF15,0.56791604
AP11,UF24,0.526064394
AP11,UF25,0.50567675
BSA11,AP11,0.921177464
BSA11,BSA11,0.856223829
BSA11,BSA12,0.829751361
BSA11,CM11,0.885690464
BSA11,CM12,0.937783969
BSA11,CM13,0.930568876
BSA11,CM21,0.970016456
BSA11,CM22,0.974752127
BSA11,CM23,0.97257822
BSA11,CM24,0.965395595
BSA11,CM31,0.934753876
BSA11,CM32,0.898946517
BSA11,CM33,0.927485822
BSA11,CM34,0.843311848
BSA11,CM35,0.74700293
BSA11,CP11,0.812399346
BSA11,CP12,0.750054387
BSA11,DM11,0.932352684
BSA11,DM12,0.935300863
BSA11,DM13,0.906238705
BSA11,DM21,0.869307386
BSA11,DM22,0.840981169
BSA11,DM23,0.710027626
BSA11,DMG11,0.481167148
BSA11,FF11,0.590849673
BSA11,FP11,0.637274986
BSA11,FP12,0.505733168
BSA11,KU11,0.813005599
BSA11,LBH11,0.933034345
BSA11,LBH12,0.891093748
BSA11,LBH13,0.968094829
BSA11,LBH14,0.970653221
BSA11,LBH15,0.961099738
BSA11,LBH16,0.964688829
BSA11,LBH21,0.870523271
BSA11,LF11,0.930854049
BSA11,LF12,0.873528633
BSA11,LF13,0.764850552
BSA11,LF14,0.738799833
BSA11,LF15,0.733680507
BSA11,LF21,0.713875118
BSA11,LF22,0.696192904
BSA11,LF23,0.659385891
BSA11,M11,0.587758959
BSA11,M21,0.650315563
