plant_fut_SZ,seed_SZ,HTp
futAP11,AP11,0.9020689843
futAP11,BSA11,0.6155645112
futAP11,BSA12,0.6557990216
futAP11,CM11,0.8831364937
futAP11,CM12,0.9402618113
futAP11,CM13,0.8999529564
futAP11,CM21,0.9218576171
futAP11,CM22,0.9070103737
futAP11,CM23,0.9036843881
futAP11,CM24,0.8805519171
futAP11,CM31,0.8636376015
futAP11,CM32,0.7933607825
futAP11,CM33,0.7927923641
futAP11,CM34,0.6924716973
futAP11,CM35,0.6163061592
futAP11,CP11,0.817293536
futAP11,CP12,0.7667693798
futAP11,DM11,0.9501034905
futAP11,DM12,0.8824591425
futAP11,DM13,0.8377587444
futAP11,DM21,0.8726281833
futAP11,DM22,0.7741983304
futAP11,DM23,0.5817668788
futAP11,DMG11,0.6578535811
futAP11,FF11,0.5682024197
futAP11,FP11,0.4972691492
futAP11,FP12,0.3581966894
futAP11,KU11,0.7780404596
futAP11,LBH11,0.8464596462
futAP11,LBH12,0.7483648358
futAP11,LBH13,0.8066799721
futAP11,LBH14,0.8467443154
futAP11,LBH15,0.8126040456
futAP11,LBH16,0.8122237896
futAP11,LBH21,0.7142416547
futAP11,LF11,0.7224492607
futAP11,LF12,0.7015998744
futAP11,LF13,0.557792145
futAP11,LF14,0.5320992784
futAP11,LF15,0.5663067988
futAP11,LF21,0.4933727841
futAP11,LF22,0.4932419098
futAP11,LF23,0.439673554
futAP11,M11,0.5230758614
futAP11,M21,0.4037814094
futAP11,M22,0.5407060457
futAP11,M32,0.4604650787
futAP11,M41,0.400417138
futAP11,M42,0.2715745518
futAP11,M43,0.4372788522
futAP11,M44,0.4161140945
futAP11,M45,0.4126964199
futAP11,M51,0.346930823
futAP11,M53,0.3464890786
futAP11,M54,0.352670023
futAP11,M55,0.370609645
futAP11,M56,0.3278883896
futAP11,MG11,0.6262434554
futAP11,MG12,0.5206249659
futAP11,MG13,0.5751821407
futAP11,NF11,0.7788887348
futAP11,NM11,0.7896509492
futAP11,NM21,0.7492108873
futAP11,PAD11,0.8875840813
futAP11,PRP11,0.8422482013
futAP11,SA11,0.2724160861
futAP11,SA12,0.2543393122
futAP11,SA21,0.1563298542
futAP11,SA22,0.1501698392
futAP11,SA31,0.2309931982
futAP11,SA32,0.2734540561
futAP11,SA33,0.2418394868
futAP11,SA41,0.1458506494
futAP11,SA42,0.18347594
futAP11,SA43,0.1578699899
futAP11,UBH11,0.7338534501
futAP11,UBH12,0.7833776221
futAP11,UBH13,0.6712937085
futAP11,UF11,0.3942607106
futAP11,UF12,0.4232266028
futAP11,UF13,0.3840886158
futAP11,UF14,0.3863210212
futAP11,UF15,0.3966717992
futAP11,UF24,0.3289260612
futAP11,UF25,0.3115117548
futBSA11,AP11,0.9074112244
futBSA11,BSA11,0.9040626826
futBSA11,BSA12,0.8905706529
futBSA11,CM11,0.8659816672
futBSA11,CM12,0.9179100261
futBSA11,CM13,0.9253712896
futBSA11,CM21,0.9497845358
futBSA11,CM22,0.9560645573
futBSA11,CM23,0.9595273815
futBSA11,CM24,0.936249912
futBSA11,CM31,0.9106872081
futBSA11,CM32,0.8356219711
futBSA11,CM33,0.8623871301
futBSA11,CM34,0.754066157
futBSA11,CM35,0.6628408945
futBSA11,CP11,0.7868128057
futBSA11,CP12,0.7410446824
futBSA11,DM11,0.9001792534
futBSA11,DM12,0.9060150441
futBSA11,DM13,0.8495993924
futBSA11,DM21,0.8404116267
futBSA11,DM22,0.7802586082
futBSA11,DM23,0.6469764797
futBSA11,DMG11,0.5051271386
futBSA11,FF11,0.5755324141
futBSA11,FP11,0.5941840454
futBSA11,FP12,0.4489918669
futBSA11,KU11,0.8221338659
futBSA11,LBH11,0.9538966774
futBSA11,LBH12,0.9353400994
futBSA11,LBH13,0.9794793497
futBSA11,LBH14,0.9801740872
futBSA11,LBH15,0.9427282613
futBSA11,LBH16,0.955785836
futBSA11,LBH21,0.923568658
futBSA11,LF11,0.8797558489
futBSA11,LF12,0.7955878206
futBSA11,LF13,0.6473891987
futBSA11,LF14,0.6202950932
futBSA11,LF15,0.6424859814
futBSA11,LF21,0.6049992426
futBSA11,LF22,0.6058225048
futBSA11,LF23,0.5777904803
futBSA11,M11,0.59647393
futBSA11,M21,0.5318781818
futBSA11,M22,0.6589836471
futBSA11,M32,0.6299335114
futBSA11,M41,0.601165609
futBSA11,M42,0.4910853243
futBSA11,M43,0.5991127987
futBSA11,M44,0.5590504774
futBSA11,M45,0.5361884835
futBSA11,M51,0.5664223351
futBSA11,M53,0.552956567
futBSA11,M54,0.5336630702
futBSA11,M55,0.5261057015
futBSA11,M56,0.4672251595
futBSA11,MG11,0.5452532292
futBSA11,MG12,0.4206956183
futBSA11,MG13,0.5267896866
futBSA11,NF11,0.7006882707
futBSA11,NM11,0.8434024171
futBSA11,NM21,0.9141801382
futBSA11,PAD11,0.8547408661
futBSA11,PRP11,0.8453822486
futBSA11,SA11,0.4482425905
futBSA11,SA12,0.4636840967
futBSA11,SA21,0.3212172232
futBSA11,SA22,0.3316824729
futBSA11,SA31,0.4418167187
futBSA11,SA32,0.4750016276
futBSA11,SA33,0.4037190277
futBSA11,SA41,0.3262841416
futBSA11,SA42,0.3754096519
futBSA11,SA43,0.3040052237
futBSA11,UBH11,0.9682283042
futBSA11,UBH12,0.9834974994
futBSA11,UBH13,0.9008381163
futBSA11,UF11,0.5221473934
futBSA11,UF12,0.5619949122
futBSA11,UF13,0.5217818363
futBSA11,UF14,0.5483271951
futBSA11,UF15,0.5725849405
futBSA11,UF24,0.5264125013
futBSA11,UF25,0.513756703
futBSA12,AP11,0.9587552864
futBSA12,BSA11,0.8832422213
futBSA12,BSA12,0.9016632982
futBSA12,CM11,0.9321749308
futBSA12,CM12,0.9629463124
futBSA12,CM13,0.9692596679
futBSA12,CM21,0.9651496063
futBSA12,CM22,0.9619689243
futBSA12,CM23,0.9608151335
futBSA12,CM24,0.9217883706
futBSA12,CM31,0.8905870503
futBSA12,CM32,0.7966153387
futBSA12,CM33,0.8217197448
futBSA12,CM34,0.7017839603
futBSA12,CM35,0.6061589752
futBSA12,CP11,0.7699778199
futBSA12,CP12,0.7228394784
futBSA12,DM11,0.9493341252
futBSA12,DM12,0.910421611
futBSA12,DM13,0.8314285373
futBSA12,DM21,0.8343599297
futBSA12,DM22,0.7454313066
futBSA12,DM23,0.5895533572
futBSA12,DMG11,0.5431893897
futBSA12,FF11,0.5436822585
futBSA12,FP11,0.5377994231
futBSA12,FP12,0.3846699963
futBSA12,KU11,0.8931094179
futBSA12,LBH11,0.9793138307
futBSA12,LBH12,0.950882693
futBSA12,LBH13,0.9599595152
futBSA12,LBH14,0.9708405481
futBSA12,LBH15,0.9075761242
futBSA12,LBH16,0.9350430886
futBSA12,LBH21,0.9362867096
futBSA12,LF11,0.8165870017
futBSA12,LF12,0.7469195667
futBSA12,LF13,0.5800592559
futBSA12,LF14,0.5537564044
futBSA12,LF15,0.5778986479
futBSA12,LF21,0.5328606573
futBSA12,LF22,0.5325934174
futBSA12,LF23,0.5036166286
futBSA12,M11,0.5640543924
futBSA12,M21,0.4655203204
futBSA12,M22,0.6166507118
futBSA12,M32,0.5597793065
futBSA12,M41,0.5241428472
futBSA12,M42,0.4020658678
