plant_SZ,seed_SZ,GS
AP11,AP11,0.883832351
AP11,BSA11,0.556891227
AP11,BSA12,0.597080815
AP11,CM11,0.860360502
AP11,CM12,0.92874785
AP11,CM13,0.880357685
AP11,CM21,0.902524551
AP11,CM22,0.884833345
AP11,CM23,0.879984327
AP11,CM24,0.844397957
AP11,CM31,0.810759733
AP11,CM32,0.729814824
AP11,CM33,0.741551062
AP11,CM34,0.619918589
AP11,CM35,0.514093098
AP11,CP11,0.718873587
AP11,CP12,0.64085273
AP11,DM11,0.940512745
AP11,DM12,0.853303541
AP11,DM13,0.78912576
AP11,DM21,0.802493711
AP11,DM22,0.691835625
AP11,DM23,0.462156251
AP11,DMG11,0.487769259
AP11,FF11,0.406327734
AP11,FP11,0.358703736
AP11,FP12,0.218448051
AP11,KU11,0.735731386
AP11,LBH11,0.817871146
AP11,LBH12,0.703876801
AP11,LBH13,0.770873346
AP11,LBH14,0.816815711
AP11,LBH15,0.765363647
AP11,LBH16,0.777315293
AP11,LBH21,0.663571054
AP11,LF11,0.661531712
AP11,LF12,0.639705171
AP11,LF13,0.476548428
AP11,LF14,0.447684675
AP11,LF15,0.464777329
AP11,LF21,0.39906275
AP11,LF22,0.384350132
AP11,LF23,0.323120122
AP11,M11,0.354572803
AP11,M21,0.317078925
AP11,M22,0.435713441
AP11,M32,0.360193215
AP11,M41,0.294033203
AP11,M42,0.180998306
AP11,M43,0.311413023
AP11,M44,0.286050268
AP11,M45,0.268397479
AP11,M51,0.246720995
AP11,M53,0.236186052
AP11,M54,0.233336251
AP11,M55,0.239208863
AP11,M56,0.198896689
AP11,MG11,0.454838718
AP11,MG12,0.339273235
AP11,MG13,0.396224836
AP11,NF11,0.641929583
AP11,NM11,0.747242187
AP11,NM21,0.701347357
AP11,PAD11,0.865967971
AP11,PRP11,0.796308697
AP11,SA11,0.196974163
AP11,SA12,0.174274707
AP11,SA21,0.100574832
AP11,SA22,0.092422114
AP11,SA31,0.148039047
AP11,SA32,0.169277959
AP11,SA33,0.138037453
AP11,SA41,0.085203086
AP11,SA42,0.105392173
AP11,SA43,0.082346413
AP11,UBH11,0.689446267
AP11,UBH12,0.745157501
AP11,UBH13,0.618127041
AP11,UF11,0.314625355
AP11,UF12,0.334550568
AP11,UF13,0.299474261
AP11,UF14,0.291030148
AP11,UF15,0.287688737
AP11,UF24,0.236350749
AP11,UF25,0.215622729
BSA11,AP11,0.886538481
BSA11,BSA11,0.886173348
BSA11,BSA12,0.869122013
BSA11,CM11,0.841126986
BSA11,CM12,0.897519331
BSA11,CM13,0.910446316
BSA11,CM21,0.923258073
BSA11,CM22,0.929980279
BSA11,CM23,0.932158616
BSA11,CM24,0.890428615
BSA11,CM31,0.840579894
BSA11,CM32,0.754736314
BSA11,CM33,0.802119822
BSA11,CM34,0.667142592
BSA11,CM35,0.538372194
BSA11,CP11,0.658820369
BSA11,CP12,0.585671895
BSA11,DM11,0.877889568
BSA11,DM12,0.866755473
BSA11,DM13,0.7835152
BSA11,DM21,0.741314289
BSA11,DM22,0.673957845
BSA11,DM23,0.500070906
BSA11,DMG11,0.333740714
BSA11,FF11,0.387065952
BSA11,FP11,0.418562684
BSA11,FP12,0.266354192
BSA11,KU11,0.790654271
BSA11,LBH11,0.944328481
BSA11,LBH12,0.923030314
BSA11,LBH13,0.962290983
BSA11,LBH14,0.962716311
BSA11,LBH15,0.895097555
BSA11,LBH16,0.934706392
BSA11,LBH21,0.908779587
BSA11,LF11,0.818172824
BSA11,LF12,0.726880826
BSA11,LF13,0.552875782
BSA11,LF14,0.521201498
BSA11,LF15,0.518957647
BSA11,LF21,0.490502539
BSA11,LF22,0.469625051
BSA11,LF23,0.425394811
BSA11,M11,0.387430189
BSA11,M21,0.425688261
BSA11,M22,0.529066962
BSA11,M32,0.50253537
BSA11,M41,0.455460324
BSA11,M42,0.349171229
BSA11,M43,0.428918084
BSA11,M44,0.383409158
BSA11,M45,0.343126869
BSA11,M51,0.42229303
BSA11,M53,0.390684162
BSA11,M54,0.360383897
BSA11,M55,0.340648337
BSA11,M56,0.283193935
BSA11,MG11,0.361255878
BSA11,MG12,0.244234725
BSA11,MG13,0.332831817
BSA11,NF11,0.536788664
BSA11,NM11,0.814761145
BSA11,NM21,0.897238015
BSA11,PAD11,0.827749063
BSA11,PRP11,0.781791133
BSA11,SA11,0.344825663
BSA11,SA12,0.341974903
