plant_fut_SZ,seed_SZ,HTp
futAP11,AP11,0.864261358
futAP11,BSA11,0.5685444475
futAP11,BSA12,0.6060566529
futAP11,CM11,0.8440375968
futAP11,CM12,0.909529786
futAP11,CM13,0.8626056062
futAP11,CM21,0.892587233
futAP11,CM22,0.8777460604
futAP11,CM23,0.8763231922
futAP11,CM24,0.857906716
futAP11,CM31,0.846121876
futAP11,CM32,0.784400922
futAP11,CM33,0.7792997724
futAP11,CM34,0.6873659685
futAP11,CM35,0.6180637019
futAP11,CP11,0.8169284844
futAP11,CP12,0.7690579671
futAP11,DM11,0.9225041905
futAP11,DM12,0.8612232701
futAP11,DM13,0.8273579607
futAP11,DM21,0.8657830948
futAP11,DM22,0.7724230583
futAP11,DM23,0.5819525547
futAP11,DMG11,0.6693572713
futAP11,FF11,0.574956777
futAP11,FP11,0.4945091715
futAP11,FP12,0.36149034
futAP11,KU11,0.7310552404
futAP11,LBH11,0.8043298115
futAP11,LBH12,0.7004525909
futAP11,LBH13,0.7688871252
futAP11,LBH14,0.8126836447
futAP11,LBH15,0.7861934077
futAP11,LBH16,0.7809150534
futAP11,LBH21,0.6654175247
futAP11,LF11,0.7022987707
futAP11,LF12,0.6900138303
futAP11,LF13,0.5546435519
futAP11,LF14,0.5298641744
futAP11,LF15,0.5656628414
futAP11,LF21,0.4896800545
futAP11,LF22,0.4904971522
futAP11,LF23,0.4342642332
futAP11,M11,0.5199312604
futAP11,M21,0.3969821626
futAP11,M22,0.5276886698
futAP11,M32,0.4481164961
futAP11,M41,0.3860025793
futAP11,M42,0.2591992447
futAP11,M43,0.4276066979
futAP11,M44,0.4109960407
futAP11,M45,0.4102492385
futAP11,M51,0.3318273042
futAP11,M53,0.334673795
futAP11,M54,0.3448255777
futAP11,M55,0.3663535094
futAP11,M56,0.3253529955
futAP11,MG11,0.6388098602
futAP11,MG12,0.5369767119
futAP11,MG13,0.5801798732
futAP11,NF11,0.7825468155
futAP11,NM11,0.7429834299
futAP11,NM21,0.7004959385
futAP11,PAD11,0.849310191
futAP11,PRP11,0.8299136081
futAP11,SA11,0.2642469209
futAP11,SA12,0.2434375902
futAP11,SA21,0.1493086432
futAP11,SA22,0.1420400348
futAP11,SA31,0.2205335923
futAP11,SA32,0.2643518663
futAP11,SA33,0.237105735
futAP11,SA41,0.1380062715
futAP11,SA42,0.1754675326
futAP11,SA43,0.1540453291
futAP11,UBH11,0.6924132815
futAP11,UBH12,0.7456207181
futAP11,UBH13,0.6423176771
futAP11,UF11,0.390568389
futAP11,UF12,0.4185732565
futAP11,UF13,0.3789626489
futAP11,UF14,0.3794181934
futAP11,UF15,0.3882805056
futAP11,UF24,0.3192488299
futAP11,UF25,0.3016945917
futBSA11,AP11,0.9029448905
futBSA11,BSA11,0.8669089176
futBSA11,BSA12,0.8548287112
futBSA11,CM11,0.859866696
futBSA11,CM12,0.9221036524
futBSA11,CM13,0.9212217536
futBSA11,CM21,0.9546219672
futBSA11,CM22,0.9603490538
futBSA11,CM23,0.9658139918
futBSA11,CM24,0.9465878726
futBSA11,CM31,0.9259024262
futBSA11,CM32,0.8570112966
futBSA11,CM33,0.8793606475
futBSA11,CM34,0.7762407422
futBSA11,CM35,0.6892768116
futBSA11,CP11,0.816251743
futBSA11,CP12,0.7715125849
futBSA11,DM11,0.9077513944
futBSA11,DM12,0.9180084991
futBSA11,DM13,0.8707144423
futBSA11,DM21,0.8655140989
futBSA11,DM22,0.8075818711
futBSA11,DM23,0.6712297925
futBSA11,DMG11,0.5344125194
futBSA11,FF11,0.6044023063
futBSA11,FP11,0.6130374186
futBSA11,FP12,0.4695290436
futBSA11,KU11,0.8027765197
futBSA11,LBH11,0.9413197051
futBSA11,LBH12,0.9091798907
futBSA11,LBH13,0.9689186762
futBSA11,LBH14,0.9765426564
futBSA11,LBH15,0.9463829442
futBSA11,LBH16,0.9538688232
futBSA11,LBH21,0.8936138193
futBSA11,LF11,0.8869176085
futBSA11,LF12,0.8116835362
futBSA11,LF13,0.6673465301
futBSA11,LF14,0.640319721
