plant_fut_SZ,seed_SZ,HTp
futAP11,AP11,0.8217122774
futAP11,BSA11,0.5209162064
futAP11,BSA12,0.5557219879
futAP11,CM11,0.800564566
futAP11,CM12,0.901
futAP11,CM13,0.8204321891
futAP11,CM21,0.901
futAP11,CM22,0.8426452096
futAP11,CM23,0.842971491
futAP11,CM24,0.829002581
futAP11,CM31,0.8221141029
futAP11,CM32,0.7689690025
futAP11,CM33,0.7595432848
futAP11,CM34,0.6763570516
futAP11,CM35,0.6143532456
futAP11,CP11,0.8097721504
futAP11,CP12,0.7649031168
futAP11,DM11,0.901
futAP11,DM12,0.833660694
futAP11,DM13,0.8102718002
futAP11,DM21,0.901
futAP11,DM22,0.7641092076
futAP11,DM23,0.5769659805
futAP11,DMG11,0.675762895
futAP11,FF11,0.5767484166
futAP11,FP11,0.4873403874
futAP11,FP12,0.361445974
futAP11,KU11,0.6817833901
futAP11,LBH11,0.7583277941
futAP11,LBH12,0.6504751635
futAP11,LBH13,0.7269282826
futAP11,LBH14,0.7737051638
futAP11,LBH15,0.7543097958
futAP11,LBH16,0.7446317454
futAP11,LBH21,0.6150904307
futAP11,LF11,0.6768565319
futAP11,LF12,0.672742071
futAP11,LF13,0.5465432559
futAP11,LF14,0.5228568172
futAP11,LF15,0.5599554522
futAP11,LF21,0.4815675712
futAP11,LF22,0.4833225706
futAP11,LF23,0.4249699782
futAP11,M11,0.5123494132
futAP11,M21,0.3866518032
futAP11,M22,0.5104032863
futAP11,M32,0.4321113809
futAP11,M41,0.368664175
futAP11,M42,0.2450377506
futAP11,M43,0.4143276365
futAP11,M44,0.4022115896
futAP11,M45,0.4041095378
futAP11,M51,0.3144280551
futAP11,M53,0.3202544233
futAP11,M54,0.3340268721
futAP11,M55,0.358834659
futAP11,M56,0.3198309721
futAP11,MG11,0.6462184145
futAP11,MG12,0.5493149982
futAP11,MG13,0.5804139073
futAP11,NF11,0.7798307701
futAP11,NM11,0.6938008392
futAP11,NM21,0.6499083895
futAP11,PAD11,0.8065668857
futAP11,PRP11,0.8109807549
futAP11,SA11,0.2538642832
futAP11,SA12,0.2307847641
futAP11,SA21,0.1411977798
futAP11,SA22,0.1330444722
futAP11,SA31,0.2085412
futAP11,SA32,0.2531572881
futAP11,SA33,0.2302547146
futAP11,SA41,0.1293160547
futAP11,SA42,0.1662084986
futAP11,SA43,0.1488549003
futAP11,UBH11,0.64799903
futAP11,UBH12,0.7039226804
futAP11,UBH13,0.6093362248
futAP11,UF11,0.3832992297
futAP11,UF12,0.4101341182
futAP11,UF13,0.3703997501
futAP11,UF14,0.3691570417
futAP11,UF15,0.3765402589
futAP11,UF24,0.3069474785
futAP11,UF25,0.2894367178
futBSA11,AP11,0.8920523265
futBSA11,BSA11,0.8250270261
futBSA11,BSA12,0.8145038104
futBSA11,CM11,0.8477201711
futBSA11,CM12,0.9196189188
futBSA11,CM13,0.910443109
futBSA11,CM21,0.9523574743
futBSA11,CM22,0.957418519
futBSA11,CM23,0.9648101211
futBSA11,CM24,0.9496767986
futBSA11,CM31,0.9340582755
futBSA11,CM32,0.8719413174
futBSA11,CM33,0.8895176241
futBSA11,CM34,0.7925169715
futBSA11,CM35,0.7108078236
futBSA11,CP11,0.8401626449
futBSA11,CP12,0.7969046384
futBSA11,DM11,0.9087729023
futBSA11,DM12,0.9230349116
futBSA11,DM13,0.8853484057
futBSA11,DM21,0.884474535
futBSA11,DM22,0.829184961
futBSA11,DM23,0.6905593457
futBSA11,DMG11,0.5612405313
futBSA11,FF11,0.6295263356
futBSA11,FP11,0.6271128535
futBSA11,FP12,0.4867307541
futBSA11,KU11,0.7783757283
futBSA11,LBH11,0.9220868273
futBSA11,LBH12,0.8772430718
futBSA11,LBH13,0.951174037
futBSA11,LBH14,0.96554825
futBSA11,LBH15,0.9426140916
futBSA11,LBH16,0.9445758412
futBSA11,LBH21,0.8582801489
futBSA11,LF11,0.886927376
futBSA11,LF12,0.8213462903
futBSA11,LF13,0.6820799823
futBSA11,LF14,0.6553457453
futBSA11,LF15,0.6832522182
futBSA11,LF21,0.6349779238
futBSA11,LF22,0.6383356052
futBSA11,LF23,0.6007824102
futBSA11,M11,0.6302252226
futBSA11,M21,0.5479366232
futBSA11,M22,0.670587991
futBSA11,M32,0.636330533
futBSA11,M41,0.5957076031
futBSA11,M42,0.4762015244
futBSA11,M43,0.6111762305
futBSA11,M44,0.5813375155
futBSA11,M45,0.5648129558
futBSA11,M51,0.5521644335
futBSA11,M53,0.5497679124
futBSA11,M54,0.5434968739
futBSA11,M55,0.5477700009
futBSA11,M56,0.4895808361
futBSA11,MG11,0.6072444589
futBSA11,MG12,0.4795820624
futBSA11,MG13,0.5743971932
futBSA11,NF11,0.7572859005
futBSA11,NM11,0.8005807194
futBSA11,NM21,0.8560216331
futBSA11,PAD11,0.8387502989
futBSA11,PRP11,0.8775159727
futBSA11,SA11,0.4487188525
futBSA11,SA12,0.4519536378
futBSA11,SA21,0.3113038486
futBSA11,SA22,0.3153294803
futBSA11,SA31,0.42844025
futBSA11,SA32,0.4725888841
futBSA11,SA33,0.4125892901
futBSA11,SA41,0.3104314906
futBSA11,SA42,0.3651801068
futBSA11,SA43,0.3073815912
futBSA11,UBH11,0.9212757198
futBSA11,UBH12,0.9525264062
futBSA11,UBH13,0.8806294134
futBSA11,UF11,0.5453888559
futBSA11,UF12,0.5853742114
futBSA11,UF13,0.5408290151
futBSA11,UF14,0.5631833795
futBSA11,UF15,0.5844925693
futBSA11,UF24,0.5280442387
futBSA11,UF25,0.5130421304
futBSA12,AP11,0.9386291122
futBSA12,BSA11,0.8033658128
futBSA12,BSA12,0.8210996714
futBSA12,CM11,0.9080633223
futBSA12,CM12,0.9609798149
futBSA12,CM13,0.9496578245
futBSA12,CM21,0.9650277812
futBSA12,CM22,0.9608037761
futBSA12,CM23,0.9635219931
futBSA12,CM24,0.9330978011
futBSA12,CM31,0.9115501165
futBSA12,CM32,0.8303452373
futBSA12,CM33,0.846571807
futBSA12,CM34,0.7371419263
futBSA12,CM35,0.6499165234
futBSA12,CP11,0.8202833234
futBSA12,CP12,0.7752645483
futBSA12,DM11,0.9545067974
futBSA12,DM12,0.9245031072
futBSA12,DM13,0.8645524503
futBSA12,DM21,0.8758130052
futBSA12,DM22,0.7911789391
futBSA12,DM23,0.6288367193
futBSA12,DMG11,0.5995228221
futBSA12,FF11,0.5932540673
futBSA12,FP11,0.5667141808
futBSA12,FP12,0.4174104031
futBSA12,KU11,0.8408760049
futBSA12,LBH11,0.942959363
futBSA12,LBH12,0.8882582945
futBSA12,LBH13,0.9300156274
futBSA12,LBH14,0.953617323
futBSA12,LBH15,0.9058786372
futBSA12,LBH16,0.9215116415
futBSA12,LBH21,0.8665532277
futBSA12,LF11,0.822788503
futBSA12,LF12,0.7700582138
futBSA12,LF13,0.6113684344
futBSA12,LF14,0.5852731809
futBSA12,LF15,0.614649322
futBSA12,LF21,0.5594702705
futBSA12,LF22,0.5613820956
futBSA12,LF23,0.52355923
futBSA12,M11,0.5937902779
futBSA12,M21,0.4793900943
futBSA12,M22,0.6256680202
futBSA12,M32,0.5648165514
futBSA12,M41,0.5188829741
futBSA12,M42,0.3901970654
futBSA12,M43,0.5399577259
futBSA12,M44,0.5063349723
futBSA12,M45,0.496281622
futBSA12,M51,0.4728646052
futBSA12,M53,0.4669572548
futBSA12,M54,0.4609134419
futBSA12,M55,0.4701907578
futBSA12,M56,0.4129678988
futBSA12,MG11,0.6045237913
futBSA12,MG12,0.4868652378
futBSA12,MG13,0.5799391727
futBSA12,NF11,0.7641144573
futBSA12,NM11,0.858199099
futBSA12,NM21,0.8799593466
futBSA12,PAD11,0.9024826372
futBSA12,PRP11,0.8675681164
futBSA12,SA11,0.3679640449
futBSA12,SA12,0.3672562809
futBSA12,SA21,0.2401489704
futBSA12,SA22,0.2426767745
futBSA12,SA31,0.3441578672
futBSA12,SA32,0.3889696761
futBSA12,SA33,0.3334458789
futBSA12,SA41,0.2377741615
futBSA12,SA42,0.2872826638
futBSA12,SA43,0.2362233256
futBSA12,UBH11,0.8897795594
futBSA12,UBH12,0.9257459639
futBSA12,UBH13,0.8188132742
futBSA12,UF11,0.4652657465
futBSA12,UF12,0.5032143945
futBSA12,UF13,0.4625977526
futBSA12,UF14,0.4784115469
futBSA12,UF15,0.499559038
futBSA12,UF24,0.4402718581
futBSA12,UF25,0.4246231359
futCM11,AP11,0.830217573
futCM11,BSA11,0.5134348368
futCM11,BSA12,0.5575361498
futCM11,CM11,0.8182867621
futCM11,CM12,0.901
futCM11,CM13,0.8272553148
futCM11,CM21,0.8473842349
futCM11,CM22,0.8291963196
futCM11,CM23,0.8287719657
futCM11,CM24,0.8071200692
futCM11,CM31,0.7987011641
futCM11,CM32,0.736386258
futCM11,CM33,0.7285695116
futCM11,CM34,0.6421179914
futCM11,CM35,0.577310615
futCM11,CP11,0.7869449637
futCM11,CP12,0.7445313151
futCM11,DM11,0.901
futCM11,DM12,0.8252951131
futCM11,DM13,0.7891374308
futCM11,DM21,0.8335666617
futCM11,DM22,0.7326332683
futCM11,DM23,0.5439344431
futCM11,DMG11,0.6945810289
futCM11,FF11,0.5565943671
futCM11,FP11,0.4626349541
futCM11,FP12,0.3320665432
futCM11,KU11,0.7034887625
futCM11,LBH11,0.7593767184
futCM11,LBH12,0.6511996247
futCM11,LBH13,0.7096696993
futCM11,LBH14,0.7601840637
futCM11,LBH15,0.7288099763
futCM11,LBH16,0.7296015706
futCM11,LBH21,0.615621299
futCM11,LF11,0.6415879213
futCM11,LF12,0.6451273914
futCM11,LF13,0.5096826499
futCM11,LF14,0.487561336
futCM11,LF15,0.5229401546
futCM11,LF21,0.4470323202
futCM11,LF22,0.4479565624
futCM11,LF23,0.3950458362
futCM11,M11,0.4999395787
futCM11,M21,0.3620365097
futCM11,M22,0.4966272001
futCM11,M32,0.408670293
futCM11,M41,0.3466829642
futCM11,M42,0.2232523568
futCM11,M43,0.3912715562
futCM11,M44,0.3752537012
futCM11,M45,0.3789767338
futCM11,M51,0.2939267477
futCM11,M53,0.2971724919
futCM11,M54,0.3083824997
futCM11,M55,0.3327534863
futCM11,M56,0.2932138184
futCM11,MG11,0.6403428388
futCM11,MG12,0.5511174347
futCM11,MG13,0.5848374584
futCM11,NF11,0.7758038298
futCM11,NM11,0.7141537693
futCM11,NM21,0.6553386763
futCM11,PAD11,0.825146245
futCM11,PRP11,0.7973929643
futCM11,SA11,0.2304800292
futCM11,SA12,0.209209164
futCM11,SA21,0.1247686226
futCM11,SA22,0.1176653928
futCM11,SA31,0.1881144996
futCM11,SA32,0.2312065025
futCM11,SA33,0.2071058341
futCM11,SA41,0.1140067362
futCM11,SA42,0.1486943222
futCM11,SA43,0.1304709767
futCM11,UBH11,0.6306859966
futCM11,UBH12,0.6873766934
futCM11,UBH13,0.584818891
futCM11,UF11,0.3501511999
futCM11,UF12,0.3768158167
futCM11,UF13,0.3408663082
futCM11,UF14,0.3383843866
futCM11,UF15,0.3473685907
futCM11,UF24,0.2804796823
futCM11,UF25,0.2636589575
futCM12,AP11,0.7611544289
futCM12,BSA11,0.468190167
futCM12,BSA12,0.4960408002
futCM12,CM11,0.7377702066
futCM12,CM12,0.8226643352
futCM12,CM13,0.7645706776
futCM12,CM21,0.8139957685
futCM12,CM22,0.8018980421
futCM12,CM23,0.8075853573
futCM12,CM24,0.8030544734
futCM12,CM31,0.8073216549
futCM12,CM32,0.7701041078
futCM12,CM33,0.754490821
futCM12,CM34,0.6885315384
futCM12,CM35,0.6390534739
futCM12,CP11,0.824912683
futCM12,CP12,0.7881140637
futCM12,DM11,0.842506895
futCM12,DM12,0.8132363055
futCM12,DM13,0.8087352035
futCM12,DM21,0.901
futCM12,DM22,0.7778608076
futCM12,DM23,0.6023675354
futCM12,DMG11,0.7059539971
futCM12,FF11,0.6134127111
futCM12,FP11,0.5111091168
futCM12,FP12,0.3891002596
futCM12,KU11,0.611779051
futCM12,LBH11,0.7017653497
futCM12,LBH12,0.5903522175
futCM12,LBH13,0.6815637868
futCM12,LBH14,0.7339687707
futCM12,LBH15,0.7286716407
futCM12,LBH16,0.714045383
futCM12,LBH21,0.5548161065
futCM12,LF11,0.663860969
futCM12,LF12,0.6771167553
futCM12,LF13,0.5642607262
futCM12,LF14,0.5425931447
futCM12,LF15,0.582218068
futCM12,LF21,0.5003901717
futCM12,LF22,0.5037324643
futCM12,LF23,0.442898703
futCM12,M11,0.5351742304
futCM12,M21,0.401656047
futCM12,M22,0.5188948188
futCM12,M32,0.440337359
futCM12,M41,0.3727883631
futCM12,M42,0.2465856335
futCM12,M43,0.4269573256
futCM12,M44,0.4204263991
futCM12,M45,0.4257331976
futCM12,M51,0.3150372636
futCM12,M53,0.326426049
futCM12,M54,0.3459744864
futCM12,M55,0.3765062002
futCM12,M56,0.337738042
futCM12,MG11,0.6878921669
futCM12,MG12,0.5961657676
futCM12,MG13,0.6108073082
futCM12,NF11,0.8028401209
futCM12,NM11,0.6265135007
futCM12,NM21,0.5862850904
futCM12,PAD11,0.7427354091
futCM12,PRP11,0.8072599286
futCM12,SA11,0.2615861492
futCM12,SA12,0.2332797048
futCM12,SA21,0.1441676225
futCM12,SA22,0.1337154436
futCM12,SA31,0.2106734206
futCM12,SA32,0.2597188886
futCM12,SA33,0.2411003885
futCM12,SA41,0.1301301598
futCM12,SA42,0.1694412004
futCM12,SA43,0.1563477632
futCM12,UBH11,0.6005484858
futCM12,UBH12,0.6618520364
futCM12,UBH13,0.5884537025
futCM12,UF11,0.3998844775
futCM12,UF12,0.4269512815
futCM12,UF13,0.3861932511
futCM12,UF14,0.3823459729
futCM12,UF15,0.3887129519
futCM12,UF24,0.3148958483
futCM12,UF25,0.2964666752
futCM13,AP11,0.8167633266
futCM13,BSA11,0.529279208
futCM13,BSA12,0.5597375359
futCM13,CM11,0.7941422974
futCM13,CM12,0.901
futCM13,CM13,0.8216182828
futCM13,CM21,0.901
futCM13,CM22,0.901
futCM13,CM23,0.901
futCM13,CM24,0.8464817692
futCM13,CM31,0.8469441329
futCM13,CM32,0.7999109753
futCM13,CM33,0.7894837269
futCM13,CM34,0.7144052608
futCM13,CM35,0.6556222626
futCM13,CP11,0.8475034077
futCM13,CP12,0.8086632447
futCM13,DM11,0.901
futCM13,DM12,0.901
futCM13,DM13,0.8426914285
futCM13,DM21,0.901
futCM13,DM22,0.8005036374
futCM13,DM23,0.6215126377
futCM13,DMG11,0.7140146806
futCM13,FF11,0.6277156379
futCM13,FP11,0.5343154844
futCM13,FP12,0.4013430129
futCM13,KU11,0.6728442705
futCM13,LBH11,0.7631516688
futCM13,LBH12,0.6549485437
futCM13,LBH13,0.7383572775
futCM13,LBH14,0.7898216441
futCM13,LBH15,0.7762736762
futCM13,LBH16,0.7687046203
futCM13,LBH21,0.619212734
futCM13,LF11,0.7040128423
futCM13,LF12,0.7121414462
futCM13,LF13,0.5851971508
futCM13,LF14,0.5626851965
futCM13,LF15,0.6006698342
futCM13,LF21,0.5213275997
futCM13,LF22,0.5237661718
futCM13,LF23,0.4659840386
futCM13,M11,0.5623510888
futCM13,M21,0.4261045347
futCM13,M22,0.5553461655
futCM13,M32,0.4729074341
futCM13,M41,0.4056678818
futCM13,M42,0.2719697057
futCM13,M43,0.4565548037
futCM13,M44,0.4441176251
futCM13,M45,0.4476769879
futCM13,M51,0.3471099683
futCM13,M53,0.3550778513
futCM13,M54,0.3708465996
futCM13,M55,0.3989834533
futCM13,M56,0.3563727131
futCM13,MG11,0.6956887836
futCM13,MG12,0.5964119295
futCM13,MG13,0.6286192605
futCM13,NF11,0.8227427198
futCM13,NM11,0.6888575422
futCM13,NM21,0.6507221284
futCM13,PAD11,0.7977565228
futCM13,PRP11,0.8443905098
futCM13,SA11,0.2829702024
futCM13,SA12,0.2568374568
futCM13,SA21,0.1594363692
futCM13,SA22,0.1498697431
futCM13,SA31,0.2328311712
futCM13,SA32,0.2833175037
futCM13,SA33,0.2586410049
futCM13,SA41,0.1457269556
futCM13,SA42,0.1877291775
futCM13,SA43,0.1689419187
futCM13,UBH11,0.6595129619
futCM13,UBH12,0.7200659531
futCM13,UBH13,0.6395943203
futCM13,UF11,0.4186374173
futCM13,UF12,0.4477654131
futCM13,UF13,0.4072948032
futCM13,UF14,0.4050800461
futCM13,UF15,0.4139945337
futCM13,UF24,0.3396575324
futCM13,UF25,0.3207501696
futCM21,AP11,0.74393879
futCM21,BSA11,0.4825629728
futCM21,BSA12,0.4956902839
futCM21,CM11,0.7087641459
futCM21,CM12,0.8101225136
futCM21,CM13,0.7522276552
futCM21,CM21,0.8264378736
futCM21,CM22,0.8211420562
futCM21,CM23,0.8291831572
futCM21,CM24,0.8403886534
futCM21,CM31,0.901
futCM21,CM32,0.8336783834
futCM21,CM33,0.8153775972
futCM21,CM34,0.7619998529
futCM21,CM35,0.7199685264
futCM21,CP11,0.901
futCM21,CP12,0.83209334
futCM21,DM11,0.8269925575
futCM21,DM12,0.8334060226
futCM21,DM13,0.901
futCM21,DM21,0.901
futCM21,DM22,0.8414994318
futCM21,DM23,0.6779493333
futCM21,DMG11,0.6780581925
futCM21,FF11,0.6639697085
futCM21,FP11,0.573602592
futCM21,FP12,0.4597547663
futCM21,KU11,0.579524635
futCM21,LBH11,0.7000767512
futCM21,LBH12,0.5910418458
futCM21,LBH13,0.7097183785
futCM21,LBH14,0.7568913751
futCM21,LBH15,0.7757243844
futCM21,LBH16,0.7453508162
futCM21,LBH21,0.5555116417
futCM21,LF11,0.7314302471
futCM21,LF12,0.7397981048
futCM21,LF13,0.6476059786
futCM21,LF14,0.6243889091
futCM21,LF15,0.6650696171
futCM21,LF21,0.5811190745
futCM21,LF22,0.5850404416
futCM21,LF23,0.5153559669
futCM21,M11,0.5719188861
futCM21,M21,0.4674504362
futCM21,M22,0.5638860717
futCM21,M32,0.5014048435
futCM21,M41,0.4301008281
futCM21,M42,0.299691729
futCM21,M43,0.4863740713
futCM21,M44,0.4867286298
futCM21,M45,0.4878273029
futCM21,M51,0.3679156434
futCM21,M53,0.3836876372
futCM21,M54,0.4081346031
futCM21,M55,0.4386875892
futCM21,M56,0.4023779039
futCM21,MG11,0.7081730415
futCM21,MG12,0.6004583887
futCM21,MG13,0.6143306897
futCM21,NF11,0.8163578061
futCM21,NM11,0.5977960001
futCM21,NM21,0.5782627662
futCM21,PAD11,0.7114849129
futCM21,PRP11,0.8401038654
futCM21,SA11,0.3203882225
futCM21,SA12,0.2858097153
futCM21,SA21,0.1852308603
futCM21,SA22,0.1709213258
futCM21,SA31,0.2597546377
futCM21,SA32,0.3126230129
futCM21,SA33,0.2972362948
futCM21,SA41,0.1667878994
futCM21,SA42,0.2112069751
futCM21,SA43,0.2008738657
futCM21,UBH11,0.6297855294
futCM21,UBH12,0.6901080971
futCM21,UBH13,0.6404122197
futCM21,UF11,0.4791052841
futCM21,UF12,0.505401928
futCM21,UF13,0.4592130204
futCM21,UF14,0.4558279851
futCM21,UF15,0.4583763821
futCM21,UF24,0.3783585569
futCM21,UF25,0.357983442
futCM22,AP11,0.7388303076
futCM22,BSA11,0.4902615901
futCM22,BSA12,0.4987043209
futCM22,CM11,0.7007989757
futCM22,CM12,0.8065101538
futCM22,CM13,0.7495404065
futCM22,CM21,0.8298515053
futCM22,CM22,0.8270316439
futCM22,CM23,0.8367702603
futCM22,CM24,0.8523025068
futCM22,CM31,0.8649007773
futCM22,CM32,0.85422579
futCM22,CM33,0.8355782077
futCM22,CM34,0.7870549356
futCM22,CM35,0.7478841885
futCM22,CP11,0.8875279322
futCM22,CP12,0.849980672
futCM22,DM11,0.8224881741
futCM22,DM12,0.842417733
futCM22,DM13,0.8684950849
futCM22,DM21,0.9015904697
futCM22,DM22,0.8625822654
futCM22,DM23,0.7061305458
futCM22,DMG11,0.6767573547
futCM22,FF11,0.6862313723
futCM22,FP11,0.6002626781
futCM22,FP12,0.4872237053
futCM22,KU11,0.5714917792
futCM22,LBH11,0.7016039833
futCM22,LBH12,0.5938964797
futCM22,LBH13,0.7201601692
futCM22,LBH14,0.7665742408
futCM22,LBH15,0.7920702124
futCM22,LBH16,0.7586326369
futCM22,LBH21,0.5585943719
futCM22,LF11,0.7544545003
futCM22,LF12,0.7629928176
futCM22,LF13,0.6766158563
futCM22,LF14,0.6533555343
futCM22,LF15,0.6943554757
futCM22,LF21,0.6108810376
futCM22,LF22,0.6152402775
futCM22,LF23,0.5443517171
futCM22,M11,0.5920342523
futCM22,M21,0.4937973252
futCM22,M22,0.5852604032
futCM22,M32,0.5271634761
