BECvar_site,BECvar_seed,HTp_pred
futAP11,AP11,0.813408872
futAP11,BSA11,0.503638025
futAP11,BSA12,0.53908976
futAP11,CM11,0.791406881
futAP11,CM12,0.901
futAP11,CM13,0.812076233
futAP11,CM21,0.901
futAP11,CM22,0.835216274
futAP11,CM23,0.835556409
futAP11,CM24,0.821000503
futAP11,CM31,0.813827215
futAP11,CM32,0.7585912
futAP11,CM33,0.748814863
futAP11,CM34,0.662815067
futAP11,CM35,0.599066043
futAP11,CP11,0.800982765
futAP11,CP12,0.754373306
futAP11,DM11,0.901
futAP11,DM12,0.825852958
futAP11,DM13,0.801502562
futAP11,DM21,0.844902268
futAP11,DM22,0.753549851
futAP11,DM23,0.560785011
futAP11,DMG11,0.662202704
futAP11,FF11,0.560562614
futAP11,FP11,0.469554974
futAP11,FP12,0.342913414
futAP11,KU11,0.668408959
futAP11,LBH11,0.747554614
futAP11,LBH12,0.636166246
futAP11,LBH13,0.715035528
futAP11,LBH14,0.763505883
futAP11,LBH15,0.743389402
futAP11,LBH16,0.733361484
futAP11,LBH21,0.599822087
futAP11,LF11,0.663329873
futAP11,LF12,0.65908975
futAP11,LF13,0.529729225
futAP11,LF14,0.505611501
futAP11,LF15,0.54340978
futAP11,LF21,0.463706949
futAP11,LF22,0.465484431
futAP11,LF23,0.406570781
futAP11,M11,0.494930711
futAP11,M21,0.368108098
futAP11,M22,0.492953707
futAP11,M32,0.413759477
futAP11,M41,0.350119408
futAP11,M42,0.227846758
futAP11,M43,0.395869581
futAP11,M44,0.383703841
futAP11,M45,0.385608336
futAP11,M51,0.296163847
futAP11,M53,0.301938375
futAP11,M54,0.315609733
futAP11,M55,0.34030834
futAP11,M56,0.301518507
futAP11,MG11,0.631788553
futAP11,MG12,0.532555017
futAP11,MG13,0.564310117
futAP11,NF11,0.76986469
futAP11,NM11,0.680805655
futAP11,NM21,0.635583283
futAP11,PAD11,0.797648649
futAP11,PRP11,0.802240133
futAP11,SA11,0.236486501
futAP11,SA12,0.2139296
futAP11,SA21,0.127601327
futAP11,SA22,0.119863823
futAP11,SA31,0.192299897
futAP11,SA32,0.235793888
futAP11,SA33,0.21341288
futAP11,SA41,0.116333624
futAP11,SA42,0.151475985
futAP11,SA43,0.134889057
futAP11,UBH11,0.633619579
futAP11,UBH12,0.69125555
futAP11,UBH13,0.593921918
futAP11,UF11,0.364751982
futAP11,UF12,0.391656753
futAP11,UF13,0.351853142
futAP11,UF14,0.350611709
futAP11,UF15,0.357990497
futAP11,UF24,0.288757953
futAP11,UF25,0.271458881
futBSA11,AP11,0.886797407
futBSA11,BSA11,0.816860198
futBSA11,BSA12,0.805905884
futBSA11,CM11,0.840507489
futBSA11,CM12,0.915641824
futBSA11,CM13,0.906035644
futBSA11,CM21,0.949955991
futBSA11,CM22,0.95526611
futBSA11,CM23,0.963024089
futBSA11,CM24,0.947143979
futBSA11,CM31,0.930768448
futBSA11,CM32,0.86578316
futBSA11,CM33,0.884147503
futBSA11,CM34,0.783042049
futBSA11,CM35,0.698368294
futBSA11,CP11,0.832628522
futBSA11,CP12,0.787602137
futBSA11,DM11,0.904287638
futBSA11,DM12,0.919219305
futBSA11,DM13,0.879789645
futBSA11,DM21,0.87887637
futBSA11,DM22,0.821190465
futBSA11,DM23,0.677460764
futBSA11,DMG11,0.544721468
futBSA11,FF11,0.614636692
futBSA11,FP11,0.612158662
futBSA11,FP12,0.468937228
futBSA11,KU11,0.76835402
futBSA11,LBH11,0.918226332
futBSA11,LBH12,0.87132062
futBSA11,LBH13,0.948714523
futBSA11,LBH14,0.963798974
futBSA11,LBH15,0.939737213
futBSA11,LBH16,0.941794242
futBSA11,LBH21,0.85152269
futBSA11,LF11,0.881439933
futBSA11,LF12,0.813027849
futBSA11,LF13,0.668714776
futBSA11,LF14,0.641177029
futBSA11,LF15,0.669923538
futBSA11,LF21,0.620235887
futBSA11,LF22,0.62368572
futBSA11,LF23,0.585156457
futBSA11,M11,0.615354363
futBSA11,M21,0.531149671
futBSA11,M22,0.656870415
futBSA11,M32,0.621625506
futBSA11,M41,0.579959128
futBSA11,M42,0.458274243
futBSA11,M43,0.595808286
futBSA11,M44,0.565254584
futBSA11,M45,0.548368679
futBSA11,M51,0.535460785
futBSA11,M53,0.533016833
futBSA11,M54,0.526624294
futBSA11,M55,0.530979801
futBSA11,M56,0.471825579
futBSA11,MG11,0.591777804
futBSA11,MG12,0.461696408
futBSA11,MG13,0.558159431
futBSA11,NF11,0.746474437
futBSA11,NM11,0.791423676
futBSA11,NM21,0.849166221
futBSA11,PAD11,0.831156511
futBSA11,PRP11,0.871605701
futBSA11,SA11,0.430500542
futBSA11,SA12,0.433765116
futBSA11,SA21,0.29306971
futBSA11,SA22,0.297056892
futBSA11,SA31,0.410063261
futBSA11,SA32,0.454618506
futBSA11,SA33,0.394122961
futBSA11,SA41,0.292206034
futBSA11,SA42,0.346640312
futBSA11,SA43,0.289187478
futBSA11,UBH11,0.917376863
futBSA11,UBH12,0.950133213
futBSA11,UBH13,0.874858419
futBSA11,UF11,0.528552533
futBSA11,UF12,0.569383353
futBSA11,UF13,0.523905899
futBSA11,UF14,0.54670484
futBSA11,UF15,0.568481476
futBSA11,UF24,0.510888631
futBSA11,UF25,0.495634513
futBSA12,AP11,0.935559371
futBSA12,BSA11,0.794319577
futBSA12,BSA12,0.812771103
futBSA12,CM11,0.903545055
futBSA12,CM12,0.959003542
futBSA12,CM13,0.947124077
futBSA12,CM21,0.963252585
futBSA12,CM22,0.95881878
futBSA12,CM23,0.961671891
futBSA12,CM24,0.92976188
futBSA12,CM31,0.907194309
futBSA12,CM32,0.822399032
futBSA12,CM33,0.839310048
futBSA12,CM34,0.725605524
futBSA12,CM35,0.635591649
futBSA12,CP11,0.811921263
futBSA12,CP12,0.765124387
futBSA12,DM11,0.952210913
futBSA12,DM12,0.920757119
futBSA12,DM13,0.858068704
futBSA12,DM21,0.869826805
futBSA12,DM22,0.781651695
futBSA12,DM23,0.613928582
futBSA12,DMG11,0.583866245
futBSA12,FF11,0.577447176
futBSA12,FP11,0.550310192
futBSA12,FP12,0.39896795
futBSA12,KU11,0.833372067
futBSA12,LBH11,0.940099238
futBSA12,LBH12,0.882831083
futBSA12,LBH13,0.926532155
futBSA12,LBH14,0.951277706
futBSA12,LBH15,0.901258949
futBSA12,LBH16,0.917623939
futBSA12,LBH21,0.86015731
futBSA12,LF11,0.814529362
futBSA12,LF12,0.759721329
futBSA12,LF13,0.59600535
futBSA12,LF14,0.56928
futBSA12,LF15,0.599369688
futBSA12,LF21,0.542914592
futBSA12,LF22,0.544865973
futBSA12,LF23,0.506325903
futBSA12,M11,0.577996107
futBSA12,M21,0.461502043
futBSA12,M22,0.610675423
futBSA12,M32,0.54837235
futBSA12,M41,0.501570767
futBSA12,M42,0.371658744
futBSA12,M43,0.523018256
futBSA12,M44,0.488822106
futBSA12,M45,0.478619755
futBSA12,M51,0.454897465
futBSA12,M53,0.44892258
futBSA12,M54,0.442813718
futBSA12,M55,0.452192568
futBSA12,M56,0.394503339
futBSA12,MG11,0.588989622
futBSA12,MG12,0.469073498
futBSA12,MG13,0.563824692
futBSA12,NF11,0.753555296
futBSA12,NM11,0.851438119
futBSA12,NM21,0.874158327
futBSA12,PAD11,0.89770586
futBSA12,PRP11,0.861216845
futBSA12,SA11,0.34942014
futBSA12,SA12,0.348713317
futBSA12,SA21,0.223068322
futBSA12,SA22,0.22553845
futBSA12,SA31,0.325685065
futBSA12,SA32,0.370429301
futBSA12,SA33,0.315032406
futBSA12,SA41,0.220748923
futBSA12,SA42,0.26933454
futBSA12,SA43,0.219234918
futBSA12,UBH11,0.884421325
futBSA12,UBH12,0.922059007
futBSA12,UBH13,0.810391011
futBSA12,UF11,0.447212452
futBSA12,UF12,0.485654147
futBSA12,UF13,0.444515743
futBSA12,UF14,0.460511338
futBSA12,UF15,0.481944582
futBSA12,UF24,0.421981518
futBSA12,UF25,0.4062218
futCM11,AP11,0.82226605
futCM11,BSA11,0.496033525
futCM11,BSA12,0.540940806
futCM11,CM11,0.809842972
futCM11,CM12,0.901
futCM11,CM13,0.819180702
futCM11,CM21,0.840157188
futCM11,CM22,0.821202296
futCM11,CM23,0.820760302
futCM11,CM24,0.798224021
futCM11,CM31,0.789469635
futCM11,CM32,0.72482323
futCM11,CM33,0.716733504
futCM11,CM34,0.627573037
futCM11,CM35,0.561137311
futCM11,CP11,0.777252962
futCM11,CP12,0.733257458
futCM11,DM11,0.901
futCM11,DM12,0.817139362
futCM11,DM13,0.779530593
futCM11,DM21,0.825754989
futCM11,DM22,0.72093862
futCM11,DM23,0.527070217
futCM11,DMG11,0.681610852
futCM11,FF11,0.539979837
futCM11,FP11,0.444553339
futCM11,FP12,0.313661985
futCM11,KU11,0.690807408
futCM11,LBH11,0.748642157
futCM11,LBH12,0.636911438
futCM11,LBH13,0.6971923
futCM11,LBH14,0.74947928
futCM11,LBH15,0.7169823
futCM11,LBH16,0.717801349
futCM11,LBH21,0.600366566
futCM11,LF11,0.627028191
futCM11,LF12,0.630666771
futCM11,LF13,0.492221736
futCM11,LF14,0.469778872
futCM11,LF15,0.505696259
futCM11,LF21,0.42879896
futCM11,LF22,0.429731408
futCM11,LF23,0.376517577
futCM11,M11,0.482330701
futCM11,M21,0.343502673
futCM11,M22,0.478970279
futCM11,M32,0.390186711
futCM11,M41,0.328198696
futCM11,M42,0.20659244
futCM11,M43,0.372735197
futCM11,M44,0.356704169
futCM11,M45,0.360427161
futCM11,M51,0.275889598
futCM11,M53,0.27909465
futCM11,M54,0.290177931
futCM11,M55,0.314344452
futCM11,M56,0.275185851
futCM11,MG11,0.625748491
futCM11,MG12,0.534392997
futCM11,MG13,0.568834272
futCM11,NF11,0.765684152
futCM11,NM11,0.701826134
futCM11,NM21,0.641169755
futCM11,PAD11,0.816984342
futCM11,PRP11,0.788109733
futCM11,SA11,0.213632521
futCM11,SA12,0.192947751
futCM11,SA21,0.11203509
futCM11,SA22,0.105336956
futCM11,SA31,0.172541623
futCM11,SA32,0.214340777
futCM11,SA33,0.190908108
futCM11,SA41,0.101895028
futCM11,SA42,0.134736023
futCM11,SA43,0.11742659
futCM11,UBH11,0.615827543
futCM11,UBH12,0.674177382
futCM11,UBH13,0.568815279
futCM11,UF11,0.331652724
futCM11,UF12,0.358266036
futCM11,UF13,0.322409886
futCM11,UF14,0.319941396
futCM11,UF15,0.328881372
futCM11,UF24,0.262630836
futCM11,UF25,0.246092083
futCM12,AP11,0.750485496
futCM12,BSA11,0.450169266
futCM12,BSA12,0.478375495
futCM12,CM11,0.726255974
futCM12,CM12,0.814400083
futCM12,CM13,0.75402849
futCM12,CM21,0.805377214
futCM12,CM22,0.792793345
futCM12,CM23,0.798707989
futCM12,CM24,0.793995825
futCM12,CM31,0.798433698
futCM12,CM32,0.759768949
futCM12,CM33,0.743577035
futCM12,CM34,0.675368687
futCM12,CM35,0.624423413
futCM12,CP11,0.816741131
futCM12,CP12,0.778467433
futCM12,DM11,0.835072089
futCM12,DM12,0.804586946
futCM12,DM13,0.799904058
futCM12,DM21,0.846168444
futCM12,DM22,0.767819448
futCM12,DM23,0.586780318
futCM12,DMG11,0.693353643
futCM12,FF11,0.598101514
futCM12,FP11,0.493670691
futCM12,FP12,0.370560094
futCM12,KU11,0.596426359
futCM12,LBH11,0.689027644
futCM12,LBH12,0.57447693
futCM12,LBH13,0.66818253
futCM12,LBH14,0.722320842
futCM12,LBH15,0.716839171
futCM12,LBH16,0.70171411
futCM12,LBH21,0.538165578
futCM12,LF11,0.649941987
futCM12,LF12,0.663598089
futCM12,LF13,0.54780481
futCM12,LF14,0.525703368
futCM12,LF15,0.566155095
futCM12,LF21,0.482787918
futCM12,LF22,0.486180013
futCM12,LF23,0.424629864
futCM12,M11,0.518146296
futCM12,M21,0.38314647
futCM12,M22,0.501582809
futCM12,M32,0.422047545
futCM12,M41,0.354239908
futCM12,M42,0.229360737
futCM12,M43,0.408570667
futCM12,M44,0.402000357
futCM12,M45,0.407338759
futCM12,M51,0.296767378
futCM12,M53,0.308061017
futCM12,M54,0.327493339
futCM12,M55,0.357956442
futCM12,M56,0.319298703
futCM12,MG11,0.674709117
futCM12,MG12,0.58042826
futCM12,MG13,0.595430044
futCM12,NF11,0.79377293
futCM12,NM11,0.611543356
futCM12,NM21,0.570315212
futCM12,PAD11,0.731397381
futCM12,PRP11,0.798369494
futCM12,SA11,0.244057728
futCM12,SA12,0.216362622
futCM12,SA21,0.130425533
futCM12,SA22,0.12049967
futCM12,SA31,0.194368298
futCM12,SA32,0.242225821
futCM12,SA33,0.223997875
