plant_SZ,seed_SZ,GS
AP11,AP11,0.942588802
AP11,BSA11,0.692882686
AP11,BSA12,0.729191918
AP11,CM11,0.926266608
AP11,CM12,0.969234241
AP11,CM13,0.939530498
AP11,CM21,0.947932226
AP11,CM22,0.934585443
AP11,CM23,0.929153386
AP11,CM24,0.897326441
AP11,CM31,0.86647536
AP11,CM32,0.79509696
AP11,CM33,0.808794917
AP11,CM34,0.70245925
AP11,CM35,0.606104642
AP11,CP11,0.778756057
AP11,CP12,0.713366627
AP11,DM11,0.975034339
AP11,DM12,0.903316385
AP11,DM13,0.843447045
AP11,DM21,0.850301912
AP11,DM22,0.758181823
AP11,DM23,0.561661632
AP11,DMG11,0.576188205
AP11,FF11,0.505830467
AP11,FP11,0.468563715
AP11,FP12,0.320681303
AP11,KU11,0.838160896
AP11,LBH11,0.896808502
AP11,LBH12,0.813871224
AP11,LBH13,0.855828939
AP11,LBH14,0.887756504
AP11,LBH15,0.839824892
AP11,LBH16,0.854601152
AP11,LBH21,0.782483068
AP11,LF11,0.750816454
AP11,LF12,0.725150751
AP11,LF13,0.577512885
AP11,LF14,0.550842805
AP11,LF15,0.564645252
AP11,LF21,0.507508669
AP11,LF22,0.492761906
AP11,LF23,0.436297589
AP11,M11,0.465031074
AP11,M21,0.432181469
AP11,M22,0.550369391
AP11,M32,0.479282627
AP11,M41,0.416170302
AP11,M42,0.293440816
AP11,M43,0.428630871
AP11,M44,0.398919903
AP11,M45,0.37853163
AP11,M51,0.368299365
AP11,M53,0.353394195
AP11,M54,0.346398444
AP11,M55,0.349417092
AP11,M56,0.303880673
AP11,MG11,0.545843662
AP11,MG12,0.435403087
AP11,MG13,0.498231304
AP11,NF11,0.713360124
AP11,NM11,0.84679081
AP11,NM21,0.812525837
AP11,PAD11,0.929687349
AP11,PRP11,0.850988444
AP11,SA11,0.307810526
AP11,SA12,0.284649754
AP11,SA21,0.190047796
AP11,SA22,0.180142282
AP11,SA31,0.252925877
AP11,SA32,0.276193011
AP11,SA33,0.234572848
AP11,SA41,0.169576623
AP11,SA42,0.196562625
AP11,SA43,0.160860596
AP11,UBH11,0.795409389
AP11,UBH12,0.835827994
AP11,UBH13,0.724729551
AP11,UF11,0.426525885
AP11,UF12,0.447002294
AP11,UF13,0.412894479
AP11,UF14,0.4058892
AP11,UF15,0.403722758
AP11,UF24,0.351892159
AP11,UF25,0.329487832
BSA11,AP11,0.913096585
BSA11,BSA11,0.943810473
BSA11,BSA12,0.929690914
BSA11,CM11,0.880191256
BSA11,CM12,0.913530063
BSA11,CM13,0.930873557
BSA11,CM21,0.932162228
BSA11,CM22,0.937636607
BSA11,CM23,0.93758097
BSA11,CM24,0.902662111
BSA11,CM31,0.860772226
BSA11,CM32,0.788699343
BSA11,CM33,0.829310043
BSA11,CM34,0.717753933
BSA11,CM35,0.607044073
BSA11,CP11,0.706250983
BSA11,CP12,0.645529195
BSA11,DM11,0.895708584
BSA11,DM12,0.883525915
BSA11,DM13,0.811578516
BSA11,DM21,0.775570797
BSA11,DM22,0.719586646
BSA11,DM23,0.576149573
BSA11,DMG11,0.420458143
BSA11,FF11,0.472023956
BSA11,FP11,0.508018195
BSA11,FP12,0.359544553
BSA11,KU11,0.853830506
BSA11,LBH11,0.963882927
BSA11,LBH12,0.960857962
BSA11,LBH13,0.974936339
BSA11,LBH14,0.969149781
BSA11,LBH15,0.911969577
BSA11,LBH16,0.946889558
BSA11,LBH21,0.95383351
BSA11,LF11,0.850077156
BSA11,LF12,0.771026922
BSA11,LF13,0.62394852
BSA11,LF14,0.596683107
BSA11,LF15,0.592986716
BSA11,LF21,0.572181067
BSA11,LF22,0.553127116
BSA11,LF23,0.517351868
BSA11,M11,0.47994048
BSA11,M21,0.519899029
BSA11,M22,0.614183013
BSA11,M32,0.592993358
BSA11,M41,0.556257611
BSA11,M42,0.461478678
BSA11,M43,0.525262135
BSA11,M44,0.479312443
BSA11,M45,0.439210683
BSA11,M51,0.530043562
BSA11,M53,0.49592669
BSA11,M54,0.462202499
BSA11,M55,0.439103716
BSA11,M56,0.382013604
BSA11,MG11,0.445102817
BSA11,MG12,0.330033323
BSA11,MG13,0.423177462
BSA11,NF11,0.604178538
BSA11,NM11,0.871936794
BSA11,NM21,0.941740783
BSA11,PAD11,0.868885882
BSA11,PRP11,0.811838632
BSA11,SA11,0.450702691
BSA11,SA12,0.453412784
BSA11,SA21,0.338434573
BSA11,SA22,0.340015562
BSA11,SA31,0.417743088
BSA11,SA32,0.415749876
BSA11,SA33,0.339295734
BSA11,SA41,0.321783841
BSA11,SA42,0.342250942
BSA11,SA43,0.263986405
