BECvar_site,BECvar_seed,HTp_pred
futAP11,AP11,0.897273119
futAP11,BSA11,0.600308321
futAP11,BSA12,0.641643451
futAP11,CM11,0.877478084
futAP11,CM12,0.937270978
futAP11,CM13,0.895059612
futAP11,CM21,0.917986277
futAP11,CM22,0.902443189
futAP11,CM23,0.898963121
futAP11,CM24,0.874777449
futAP11,CM31,0.85711378
futAP11,CM32,0.783918918
futAP11,CM33,0.783328225
futAP11,CM34,0.679434018
futAP11,CM35,0.601069021
futAP11,CP11,0.808809185
futAP11,CP12,0.756309198
futAP11,DM11,0.947591549
futAP11,DM12,0.876770277
futAP11,DM13,0.830123144
futAP11,DM21,0.866500465
futAP11,DM22,0.764017728
futAP11,DM23,0.565693671
futAP11,DMG11,0.643757806
futAP11,FF11,0.551830202
futAP11,FP11,0.479621449
futAP11,FP12,0.339672044
futAP11,KU11,0.768005955
futAP11,LBH11,0.839193098
futAP11,LBH12,0.737228734
futAP11,LBH13,0.79776627
futAP11,LBH14,0.839489923
futAP11,LBH15,0.80392907
futAP11,LBH16,0.803533421
futAP11,LBH21,0.70191697
futAP11,LF11,0.71040265
futAP11,LF12,0.68885677
futAP11,LF13,0.541202031
futAP11,LF14,0.515015665
futAP11,LF15,0.549894148
futAP11,LF21,0.47566979
futAP11,LF22,0.475537086
futAP11,LF23,0.42137843
futAP11,M11,0.505834279
futAP11,M21,0.385279042
futAP11,M22,0.523780617
futAP11,M32,0.442360693
futAP11,M41,0.381903627
futAP11,M42,0.253868393
futAP11,M43,0.418965009
futAP11,M44,0.397664936
futAP11,M45,0.39423059
futAP11,M51,0.32844548
futAP11,M53,0.328005657
futAP11,M54,0.33416234
futAP11,M55,0.352062842
futAP11,M56,0.309512633
futAP11,MG11,0.611266133
futAP11,MG12,0.503341885
futAP11,MG13,0.558961669
futAP11,NF11,0.768886623
futAP11,NM11,0.780064106
futAP11,NM21,0.73810533
futAP11,PAD11,0.882126344
futAP11,PRP11,0.834802418
futAP11,SA11,0.254695815
futAP11,SA12,0.236951923
futAP11,SA21,0.142022152
futAP11,SA22,0.136142542
futAP11,SA31,0.214132809
futAP11,SA32,0.255716561
futAP11,SA33,0.224720118
futAP11,SA41,0.132027368
futAP11,SA42,0.168069883
futAP11,SA43,0.143494073
futAP11,UBH11,0.722201482
futAP11,UBH12,0.773547753
futAP11,UBH13,0.657597471
futAP11,UF11,0.375730612
futAP11,UF12,0.404816805
futAP11,UF13,0.365542066
futAP11,UF14,0.367776899
futAP11,UF15,0.378147607
futAP11,UF24,0.310542897
futAP11,UF25,0.293275565
futBSA11,AP11,0.902862655
futBSA11,BSA11,0.899358907
futBSA11,BSA12,0.885248345
futBSA11,CM11,0.859560634
futBSA11,CM12,0.913852402
futBSA11,CM13,0.921666528
futBSA11,CM21,0.947256987
futBSA11,CM22,0.953845372
futBSA11,CM23,0.957479187
futBSA11,CM24,0.933065461
futBSA11,CM31,0.906291128
futBSA11,CM32,0.827896482
futBSA11,CM33,0.855808615
futBSA11,CM34,0.743136873
futBSA11,CM35,0.648891688
futBSA11,CP11,0.777115681
futBSA11,CP12,0.729646453
futBSA11,DM11,0.895296321
futBSA11,DM12,0.90140168
futBSA11,DM13,0.842467204
futBSA11,DM21,0.832888036
futBSA11,DM22,0.770308913
futBSA11,DM23,0.632568048
futBSA11,DMG11,0.487595813
futBSA11,FF11,0.559319676
futBSA11,FP11,0.578399233
futBSA11,FP12,0.430776023
futBSA11,KU11,0.813847791
futBSA11,LBH11,0.951570791
futBSA11,LBH12,0.93211187
futBSA11,LBH13,0.978429507
futBSA11,LBH14,0.979159408
futBSA11,LBH15,0.939856922
futBSA11,LBH16,0.953552917
futBSA11,LBH21,0.919778346
futBSA11,LF11,0.873945716
futBSA11,LF12,0.786233435
futBSA11,LF13,0.632992453
futBSA11,LF14,0.605161234
futBSA11,LF15,0.6279513
futBSA11,LF21,0.589476825
futBSA11,LF22,0.590320483
futBSA11,LF23,0.561627868
futBSA11,M11,0.58074381
futBSA11,M21,0.514790601
futBSA11,M22,0.644920907
futBSA11,M32,0.615054806
futBSA11,M41,0.585548999
futBSA11,M42,0.473350619
futBSA11,M43,0.583446284
futBSA11,M44,0.54248616
futBSA11,M45,0.519179119
futBSA11,M51,0.55001214
futBSA11,M53,0.536268717
futBSA11,M54,0.516607657
futBSA11,M55,0.508916255
futBSA11,M56,0.449193463
futBSA11,MG11,0.528414295
futBSA11,MG12,0.402271096
futBSA11,MG13,0.509612137
futBSA11,NF11,0.687915461
futBSA11,NM11,0.836005643
futBSA11,NM21,0.909947349
futBSA11,PAD11,0.847830049
futBSA11,PRP11,0.838069739
futBSA11,SA11,0.430019996
futBSA11,SA12,0.445613682
futBSA11,SA21,0.302893135
futBSA11,SA22,0.313280448
futBSA11,SA31,0.423538925
futBSA11,SA32,0.457059872
futBSA11,SA33,0.385216441
futBSA11,SA41,0.307920168
futBSA11,SA42,0.356860079
futBSA11,SA43,0.285847616
futBSA11,UBH11,0.966612741
futBSA11,UBH12,0.982651402
futBSA11,UBH13,0.895985516
futBSA11,UF11,0.504890019
futBSA11,UF12,0.545491542
futBSA11,UF13,0.504518268
futBSA11,UF14,0.531547866
futBSA11,UF15,0.556307477
futBSA11,UF24,0.509228385
futBSA11,UF25,0.496360571
futBSA12,AP11,0.956668908
futBSA12,BSA11,0.877588568
futBSA12,BSA12,0.896848724
futBSA12,CM11,0.928794772
futBSA12,CM12,0.961067607
futBSA12,CM13,0.967695669
futBSA12,CM21,0.963380476
futBSA12,CM22,0.960041699
futBSA12,CM23,0.9588307
futBSA12,CM24,0.917913755
futBSA12,CM31,0.885265487
futBSA12,CM32,0.787301428
futBSA12,CM33,0.813416646
futBSA12,CM34,0.689046862
futBSA12,CM35,0.590665306
futBSA12,CP11,0.759637912
futBSA12,CP12,0.710806213
futBSA12,DM11,0.946784547
futBSA12,DM12,0.906013144
futBSA12,DM13,0.823527497
futBSA12,DM21,0.826581488
futBSA12,DM22,0.734189695
futBSA12,DM23,0.573659373
futBSA12,DMG11,0.52631095
futBSA12,FF11,0.526813216
futBSA12,FP11,0.520819761
futBSA12,FP12,0.366124014
futBSA12,KU11,0.887902658
futBSA12,LBH11,0.978255615
futBSA12,LBH12,0.948408904
futBSA12,LBH13,0.957932707
futBSA12,LBH14,0.969355703
futBSA12,LBH15,0.903035215
futBSA12,LBH16,0.931800578
futBSA12,LBH21,0.93310403
futBSA12,LF11,0.808073838
futBSA12,LF12,0.735731406
futBSA12,LF13,0.563947477
futBSA12,LF14,0.537084567
futBSA12,LF15,0.561738448
futBSA12,LF21,0.515790744
futBSA12,LF22,0.515518689
futBSA12,LF23,0.486062432
futBSA12,M11,0.547594135
futBSA12,M21,0.447469807
futBSA12,M22,0.60142244
futBSA12,M32,0.543229999
futBSA12,M41,0.50691952
futBSA12,M42,0.383557635
futBSA12,M43,0.512892951
futBSA12,M44,0.469354665
futBSA12,M45,0.453446994
futBSA12,M51,0.467474416
futBSA12,M53,0.451823
futBSA12,M54,0.434357222
futBSA12,M55,0.433469627
futBSA12,M56,0.375199682
futBSA12,MG11,0.528230016
futBSA12,MG12,0.41101776
futBSA12,MG13,0.517843489
futBSA12,NF11,0.697560052
futBSA12,NM11,0.904605205
futBSA12,NM21,0.941134034
futBSA12,PAD11,0.920416573
futBSA12,PRP11,0.830555534
futBSA12,SA11,0.348546008
futBSA12,SA12,0.357758832
futBSA12,SA21,0.229900151
futBSA12,SA22,0.237232496
futBSA12,SA31,0.335906636
futBSA12,SA32,0.37218617
futBSA12,SA33,0.307288928
futBSA12,SA41,0.231995549
futBSA12,SA42,0.276813868
futBSA12,SA43,0.215977562
futBSA12,UBH11,0.93415096
futBSA12,UBH12,0.956229549
futBSA12,UBH13,0.831431213
futBSA12,UF11,0.426577766
futBSA12,UF12,0.464870876
futBSA12,UF13,0.427719774
futBSA12,UF14,0.447362348
futBSA12,UF15,0.471524431
futBSA12,UF24,0.420318387
futBSA12,UF25,0.40647091
futCM11,AP11,0.903620728
futCM11,BSA11,0.58861107
futCM11,BSA12,0.641504778
futCM11,CM11,0.895076369
futCM11,CM12,0.938665461
futCM11,CM13,0.899499571
futCM11,CM21,0.90231237
futCM11,CM22,0.882862033
futCM11,CM23,0.878661868
futCM11,CM24,0.845853115
futCM11,CM31,0.826928505
futCM11,CM32,0.74433588
futCM11,CM33,0.745138255
futCM11,CM34,0.639023056
futCM11,CM35,0.559075395
futCM11,CP11,0.780724465
futCM11,CP12,0.731479486
futCM11,DM11,0.95198793
futCM11,DM12,0.863625437
futCM11,DM13,0.803014677
futCM11,DM21,0.842618761
futCM11,DM22,0.726485785
futCM11,DM23,0.528188476
futCM11,DMG11,0.66148125
futCM11,FF11,0.528816443
futCM11,FP11,0.451422398
futCM11,FP12,0.308235514
futCM11,KU11,0.791665308
futCM11,LBH11,0.837084764
futCM11,LBH12,0.735221422
futCM11,LBH13,0.773801884
futCM11,LBH14,0.820103423
futCM11,LBH15,0.770942285
futCM11,LBH16,0.782646088
futCM11,LBH21,0.699868014
futCM11,LF11,0.667037783
futCM11,LF12,0.655172683
futCM11,LF13,0.499146833
futCM11,LF14,0.474955666
futCM11,LF15,0.508027236
futCM11,LF21,0.436595016
futCM11,LF22,0.435752451
futCM11,LF23,0.387507731
futCM11,M11,0.490904922
futCM11,M21,0.3570748
futCM11,M22,0.506504409
futCM11,M32,0.414570393
futCM11,M41,0.355719738
futCM11,M42,0.228394204
futCM11,M43,0.392098205
futCM11,M44,0.367181475
futCM11,M45,0.366048167
futCM11,M51,0.303887272
futCM11,M53,0.301111137
futCM11,M54,0.305026136
futCM11,M55,0.322921199
futCM11,M56,0.280246784
futCM11,MG11,0.60314495
futCM11,MG12,0.503680097
futCM11,MG13,0.561997482
futCM11,NF11,0.761899257
futCM11,NM11,0.801989991
futCM11,NM21,0.74197438
futCM11,PAD11,0.900632211
futCM11,PRP11,0.816134791
futCM11,SA11,0.228196135
futCM11,SA12,0.211967978
futCM11,SA21,0.123539184
futCM11,SA22,0.11854837
futCM11,SA31,0.190549846
futCM11,SA32,0.230681416
futCM11,SA33,0.199275668
futCM11,SA41,0.114577529
futCM11,SA42,0.148238638
futCM11,SA43,0.123705096
futCM11,UBH11,0.698227233
futCM11,UBH12,0.75064622
futCM11,UBH13,0.62616583
futCM11,UF11,0.338822429
futCM11,UF12,0.367416645
futCM11,UF13,0.332356941
futCM11,UF14,0.332992612
futCM11,UF15,0.344866551
futCM11,UF24,0.280280337
futCM11,UF25,0.263800699
futCM12,AP11,0.844167645
futCM12,BSA11,0.547251499
futCM12,BSA12,0.580559117
futCM12,CM11,0.820945895
futCM12,CM12,0.897888613
futCM12,CM13,0.847443924
futCM12,CM21,0.886585172
futCM12,CM22,0.87382342
futCM12,CM23,0.876573729
futCM12,CM24,0.863140908
futCM12,CM31,0.857934222
futCM12,CM32,0.801238442
futCM12,CM33,0.793773366
futCM12,CM34,0.706575342
futCM12,CM35,0.639511161
futCM12,CP11,0.841382218
futCM12,CP12,0.796159148
futCM12,DM11,0.913397969
futCM12,DM12,0.871211021
futCM12,DM13,0.845211047
futCM12,DM21,0.885264647
futCM12,DM22,0.794417832
futCM12,DM23,0.604120243
futCM12,DMG11,0.686907326
futCM12,FF11,0.600635689
futCM12,FP11,0.514522356
futCM12,FP12,0.374742832
futCM12,KU11,0.698536201
futCM12,LBH11,0.788770964
futCM12,LBH12,0.678867526
futCM12,LBH13,0.760521038
futCM12,LBH14,0.81011133
futCM12,LBH15,0.790978202
futCM12,LBH16,0.784269763
futCM12,LBH21,0.642172909
futCM12,LF11,0.710428441
futCM12,LF12,0.707718586
futCM12,LF13,0.571355951
futCM12,LF14,0.54665576
futCM12,LF15,0.584843779
futCM12,LF21,0.505585062
futCM12,LF22,0.507052816
futCM12,LF23,0.449222143
futCM12,M11,0.54004701
futCM12,M21,0.409303825
futCM12,M22,0.543598224
futCM12,M32,0.460447776
futCM12,M41,0.394316006
futCM12,M42,0.260910569
futCM12,M43,0.441228648
futCM12,M44,0.425219715
futCM12,M45,0.42499502
futCM12,M51,0.335887926
futCM12,M53,0.34156589
futCM12,M54,0.353936754
futCM12,M55,0.377969995
futCM12,M56,0.33461999
futCM12,MG11,0.665654278
futCM12,MG12,0.559234681
futCM12,MG13,0.601176987
futCM12,NF11,0.808383695
futCM12,NM11,0.714254756
futCM12,NM21,0.675293898
futCM12,PAD11,0.824638464
futCM12,PRP11,0.847415289
futCM12,SA11,0.268390228
futCM12,SA12,0.24469079
futCM12,SA21,0.148274931
futCM12,SA22,0.139787753
futCM12,SA31,0.220997483
futCM12,SA32,0.268168533
futCM12,SA33,0.240858482
futCM12,SA41,0.13574368
futCM12,SA42,0.175129156
futCM12,SA43,0.154350392
futCM12,UBH11,0.680138021
futCM12,UBH12,0.7395687
futCM12,UBH13,0.64679779
futCM12,UF11,0.401152442
futCM12,UF12,0.431159598
futCM12,UF13,0.389958089
futCM12,UF14,0.38961812
futCM12,UF15,0.399158524
futCM12,UF24,0.325684541
futCM12,UF25,0.307078839
futCM13,AP11,0.892377716
futCM13,BSA11,0.610975821
futCM13,BSA12,0.647094656
futCM13,CM11,0.870860237
futCM13,CM12,0.938089532
futCM13,CM13,0.897212591
futCM13,CM21,0.925171579
futCM13,CM22,0.912677676
