plant_SZ,seed_SZ,GS
AP11,AP11,0.87900567
AP11,BSA11,0.605221454
AP11,BSA12,0.637478437
AP11,CM11,0.859844108
AP11,CM12,0.919508383
AP11,CM13,0.876788551
AP11,CM21,0.901048402
AP11,CM22,0.887566908
AP11,CM23,0.885580048
AP11,CM24,0.862584172
AP11,CM31,0.841223097
AP11,CM32,0.784717962
AP11,CM33,0.789943017
AP11,CM34,0.698131156
AP11,CM35,0.613608458
AP11,CP11,0.783542288
AP11,CP12,0.722045726
AP11,DM11,0.931171511
AP11,DM12,0.870590672
AP11,DM13,0.830452962
AP11,DM21,0.844249199
AP11,DM22,0.760445339
AP11,DM23,0.565970423
AP11,DMG11,0.597875885
AP11,FF11,0.519941417
AP11,FP11,0.467018427
AP11,FP12,0.328144847
AP11,KU11,0.754651531
AP11,LBH11,0.824091195
AP11,LBH12,0.727907015
AP11,LBH13,0.791025465
AP11,LBH14,0.830614297
AP11,LBH15,0.79731257
AP11,LBH16,0.80202351
AP11,LBH21,0.694061825
AP11,LF11,0.719011947
AP11,LF12,0.708684674
AP11,LF13,0.575869984
AP11,LF14,0.550631169
AP11,LF15,0.56760548
AP11,LF21,0.504373066
AP11,LF22,0.49142448
AP11,LF23,0.42977515
AP11,M11,0.462854159
AP11,M21,0.422110688
AP11,M22,0.530194864
AP11,M32,0.459580854
AP11,M41,0.392365596
AP11,M42,0.271883971
AP11,M43,0.414554117
AP11,M44,0.392821687
AP11,M45,0.376922718
AP11,M51,0.342343732
AP11,M53,0.33438573
AP11,M54,0.334997989
AP11,M55,0.34451545
AP11,M56,0.301665901
AP11,MG11,0.569095157
AP11,MG12,0.462912165
AP11,MG13,0.508945159
AP11,NF11,0.724031406
AP11,NM11,0.764271784
AP11,NM21,0.725290972
AP11,PAD11,0.864895515
AP11,PRP11,0.834354712
AP11,SA11,0.293565245
AP11,SA12,0.265057739
AP11,SA21,0.176345401
AP11,SA22,0.164266754
AP11,SA31,0.234470436
AP11,SA32,0.26172262
AP11,SA33,0.227968325
AP11,SA41,0.154750719
AP11,SA42,0.182752834
AP11,SA43,0.155065221
AP11,UBH11,0.721978261
AP11,UBH12,0.770504763
AP11,UBH13,0.674388765
AP11,UF11,0.422517498
AP11,UF12,0.441457634
AP11,UF13,0.40596075
AP11,UF14,0.395872446
AP11,UF15,0.391352581
AP11,UF24,0.335990185
AP11,UF25,0.313390417
BSA11,AP11,0.910993572
BSA11,BSA11,0.881385728
BSA11,BSA12,0.869611979
BSA11,CM11,0.874661336
BSA11,CM12,0.927052648
BSA11,CM13,0.929418126
BSA11,CM21,0.94703242
BSA11,CM22,0.951602775
BSA11,CM23,0.954983627
BSA11,CM24,0.926891376
BSA11,CM31,0.892716752
BSA11,CM32,0.83087854
BSA11,CM33,0.86462554
BSA11,CM34,0.761080697
BSA11,CM35,0.655540656
BSA11,CP11,0.759248164
BSA11,CP12,0.69829347
BSA11,DM11,0.915133261
BSA11,DM12,0.910389569
BSA11,DM13,0.853591902
BSA11,DM21,0.822969562
BSA11,DM22,0.770503763
BSA11,DM23,0.619535123
BSA11,DMG11,0.467729568
BSA11,FF11,0.518378448
BSA11,FP11,0.54065041
BSA11,FP12,0.391975152
BSA11,KU11,0.82334821
BSA11,LBH11,0.947434724
BSA11,LBH12,0.919272263
BSA11,LBH13,0.962766456
BSA11,LBH14,0.969168977
BSA11,LBH15,0.924642922
BSA11,LBH16,0.949713194
BSA11,LBH21,0.905087644
BSA11,LF11,0.868574934
BSA11,LF12,0.804402406
BSA11,LF13,0.663376192
BSA11,LF14,0.635911695
BSA11,LF15,0.635701368
BSA11,LF21,0.606308336
BSA11,LF22,0.58816613
BSA11,LF23,0.543600184
BSA11,M11,0.510851676
BSA11,M21,0.541683131
BSA11,M22,0.632370936
BSA11,M32,0.60690099
BSA11,M41,0.559668283
