BECvar_site,BECvar_seed,HTp_pred
futAP11,AP11,0.864261358
futAP11,BSA11,0.568544448
futAP11,BSA12,0.606056653
futAP11,CM11,0.844037597
futAP11,CM12,0.909529786
futAP11,CM13,0.862605606
futAP11,CM21,0.892587233
futAP11,CM22,0.87774606
futAP11,CM23,0.876323192
futAP11,CM24,0.857906716
futAP11,CM31,0.846121876
futAP11,CM32,0.784400922
futAP11,CM33,0.779299772
futAP11,CM34,0.687365969
futAP11,CM35,0.618063702
futAP11,CP11,0.816928484
futAP11,CP12,0.769057967
futAP11,DM11,0.922504191
futAP11,DM12,0.86122327
futAP11,DM13,0.827357961
futAP11,DM21,0.865783095
futAP11,DM22,0.772423058
futAP11,DM23,0.581952555
futAP11,DMG11,0.669357271
futAP11,FF11,0.574956777
futAP11,FP11,0.494509172
futAP11,FP12,0.36149034
futAP11,KU11,0.73105524
futAP11,LBH11,0.804329812
futAP11,LBH12,0.700452591
futAP11,LBH13,0.768887125
futAP11,LBH14,0.812683645
futAP11,LBH15,0.786193408
futAP11,LBH16,0.780915053
futAP11,LBH21,0.665417525
futAP11,LF11,0.702298771
futAP11,LF12,0.69001383
futAP11,LF13,0.554643552
futAP11,LF14,0.529864174
futAP11,LF15,0.565662841
futAP11,LF21,0.489680055
futAP11,LF22,0.490497152
futAP11,LF23,0.434264233
futAP11,M11,0.51993126
futAP11,M21,0.396982163
futAP11,M22,0.52768867
futAP11,M32,0.448116496
futAP11,M41,0.386002579
futAP11,M42,0.259199245
futAP11,M43,0.427606698
futAP11,M44,0.410996041
futAP11,M45,0.410249239
futAP11,M51,0.331827304
futAP11,M53,0.334673795
futAP11,M54,0.344825578
futAP11,M55,0.366353509
futAP11,M56,0.325352996
futAP11,MG11,0.63880986
futAP11,MG12,0.536976712
futAP11,MG13,0.580179873
futAP11,NF11,0.782546816
futAP11,NM11,0.74298343
futAP11,NM21,0.700495939
futAP11,PAD11,0.849310191
futAP11,PRP11,0.829913608
futAP11,SA11,0.264246921
futAP11,SA12,0.24343759
futAP11,SA21,0.149308643
futAP11,SA22,0.142040035
futAP11,SA31,0.220533592
futAP11,SA32,0.264351866
futAP11,SA33,0.237105735
futAP11,SA41,0.138006272
futAP11,SA42,0.175467533
futAP11,SA43,0.154045329
futAP11,UBH11,0.692413282
futAP11,UBH12,0.745620718
futAP11,UBH13,0.642317677
futAP11,UF11,0.390568389
futAP11,UF12,0.418573257
futAP11,UF13,0.378962649
futAP11,UF14,0.379418193
futAP11,UF15,0.388280506
futAP11,UF24,0.31924883
futAP11,UF25,0.301694592
futBSA11,AP11,0.902944891
futBSA11,BSA11,0.866908918
futBSA11,BSA12,0.854828711
futBSA11,CM11,0.859866696
futBSA11,CM12,0.922103652
futBSA11,CM13,0.921221754
futBSA11,CM21,0.954621967
futBSA11,CM22,0.960349054
futBSA11,CM23,0.965813992
futBSA11,CM24,0.946587873
futBSA11,CM31,0.925902426
futBSA11,CM32,0.857011297
futBSA11,CM33,0.879360648
futBSA11,CM34,0.776240742
futBSA11,CM35,0.689276812
futBSA11,CP11,0.816251743
futBSA11,CP12,0.771512585
futBSA11,DM11,0.907751394
futBSA11,DM12,0.918008499
futBSA11,DM13,0.870714442
futBSA11,DM21,0.865514099
futBSA11,DM22,0.807581871
futBSA11,DM23,0.671229793
futBSA11,DMG11,0.534412519
futBSA11,FF11,0.604402306
futBSA11,FP11,0.613037419
futBSA11,FP12,0.469529044
futBSA11,KU11,0.80277652
futBSA11,LBH11,0.941319705
futBSA11,LBH12,0.909179891
futBSA11,LBH13,0.968918676
futBSA11,LBH14,0.976542656
futBSA11,LBH15,0.946382944
futBSA11,LBH16,0.953868823
futBSA11,LBH21,0.893613819
futBSA11,LF11,0.886917609
futBSA11,LF12,0.811683536
