plant_SZ,seed_SZ,GS
AP11,AP11,0.840637575
AP11,BSA11,0.560175112
AP11,BSA12,0.590440818
AP11,CM11,0.820573226
AP11,CM12,0.88681057
AP11,CM13,0.838783093
AP11,CM21,0.869584182
AP11,CM22,0.856115271
AP11,CM23,0.855717632
AP11,CM24,0.836841592
AP11,CM31,0.820087039
AP11,CM32,0.771054318
AP11,CM33,0.772212668
AP11,CM34,0.688237167
AP11,CM35,0.610350772
AP11,CP11,0.777471255
AP11,CP12,0.718596119
AP11,DM11,0.901047788
AP11,DM12,0.84591294
AP11,DM13,0.815273298
AP11,DM21,0.832299528
AP11,DM22,0.753204993
AP11,DM23,0.561681017
AP11,DMG11,0.602931181
AP11,FF11,0.521373486
AP11,FP11,0.461028185
AP11,FP12,0.328109244
AP11,KU11,0.709506992
AP11,LBH11,0.782283178
AP11,LBH12,0.68179802
AP11,LBH13,0.75274085
AP11,LBH14,0.795295719
AP11,LBH15,0.768659264
AP11,LBH16,0.768990241
AP11,LBH21,0.647445936
AP11,LF11,0.695935677
AP11,LF12,0.692979602
AP11,LF13,0.568428607
AP11,LF14,0.544188626
AP11,LF15,0.562539614
AP11,LF21,0.496978968
AP11,LF22,0.485064446
AP11,LF23,0.421633413
AP11,M11,0.45688223
AP11,M21,0.41238536
AP11,M22,0.514811782
AP11,M32,0.445039236
AP11,M41,0.376743797
AP11,M42,0.258709489
AP11,M43,0.403152489
AP11,M44,0.385390008
AP11,M45,0.371931543
AP11,M51,0.326425391
AP11,M53,0.321617051
AP11,M54,0.32570653
AP11,M55,0.338257205
AP11,M56,0.297135133
AP11,MG11,0.574925958
AP11,MG12,0.472302827
AP11,MG13,0.509126648
AP11,NF11,0.721809407
AP11,NM11,0.719370532
AP11,NM21,0.678787236
AP11,PAD11,0.826300834
AP11,PRP11,0.817505281
AP11,SA11,0.283344614
AP11,SA12,0.252841277
AP11,SA21,0.167849436
AP11,SA22,0.155035301
AP11,SA31,0.223162404
AP11,SA32,0.251900141
AP11,SA33,0.222135285
AP11,SA41,0.146103872
AP11,SA42,0.174201009
AP11,SA43,0.150437152
AP11,UBH11,0.680881714
AP11,UBH12,0.732285588
