plant_SZ,seed_SZ,GS
AP11,AP11,0.79035159
AP11,BSA11,0.455928429
AP11,BSA12,0.4896315
AP11,CM11,0.76489353
AP11,CM12,0.84975514
AP11,CM13,0.787989439
AP11,CM21,0.827460871
AP11,CM22,0.810138338
AP11,CM23,0.809628393
AP11,CM24,0.785518436
AP11,CM31,0.764279364
AP11,CM32,0.703012925
AP11,CM33,0.704444711
AP11,CM34,0.602673688
AP11,CM35,0.51214187
AP11,CP11,0.710954205
AP11,CP12,0.638984296
AP11,DM11,0.901
AP11,DM12,0.797081219
AP11,DM13,0.758205501
AP11,DM21,0.779745579
AP11,DM22,0.681047222
AP11,DM23,0.457590393
AP11,DMG11,0.503722238
AP11,FF11,0.413660982
AP11,FP11,0.350139454
AP11,FP12,0.220824452
AP11,KU11,0.628055015
AP11,LBH11,0.716924508
AP11,LBH12,0.595044254
AP11,LBH13,0.680478485
AP11,LBH14,0.733134859
AP11,LBH15,0.700054929
AP11,LBH16,0.700463506
AP11,LBH21,0.55477793
AP11,LF11,0.611828612
AP11,LF12,0.608309025
AP11,LF13,0.465056655
AP11,LF14,0.43838363
AP11,LF15,0.458538677
AP11,LF21,0.38764926
AP11,LF22,0.375107514
AP11,LF23,0.310216304
AP11,M11,0.345878702
AP11,M21,0.30103044
AP11,M22,0.406620843
AP11,M32,0.333783618
AP11,M41,0.266320256
AP11,M42,0.160018142
AP11,M43,0.291932388
AP11,M44,0.274637631
AP11,M45,0.261720222
AP11,M51,0.219289906
AP11,M53,0.21492342
AP11,M54,0.218635641
AP11,M55,0.230131578
AP11,M56,0.193054875
AP11,MG11,0.472275853
AP11,MG12,0.361795017
AP11,MG13,0.400546899
AP11,NF11,0.642859935
AP11,NM11,0.639917776
AP11,NM21,0.591485681
AP11,PAD11,0.772138526
AP11,PRP11,0.761020184
AP11,SA11,0.181012321
AP11,SA12,0.155118728
AP11,SA21,0.08902534
AP11,SA22,0.079940968
AP11,SA31,0.130969159
AP11,SA32,0.154336696
AP11,SA33,0.130152846
AP11,SA41,0.073763952
AP11,SA42,0.093621611
AP11,SA43,0.076744603
AP11,UBH11,0.593960641
AP11,UBH12,0.655538078
AP11,UBH13,0.550412482
AP11,UF11,0.304173616
AP11,UF12,0.322188742
AP11,UF13,0.28673159
AP11,UF14,0.275606594
AP11,UF15,0.270284104
AP11,UF24,0.217556006
AP11,UF25,0.197445926
BSA11,AP11,0.868589601
BSA11,BSA11,0.79417315
BSA11,BSA12,0.780947145
BSA11,CM11,0.81991937
BSA11,CM12,0.899521749
BSA11,CM13,0.892876645
BSA11,CM21,0.926255579
BSA11,CM22,0.931558508
BSA11,CM23,0.938311012
BSA11,CM24,0.905750533
BSA11,CM31,0.866491833
BSA11,CM32,0.794207904
BSA11,CM33,0.832448346
BSA11,CM34,0.708105473
BSA11,CM35,0.585380684
BSA11,CP11,0.712697173
BSA11,CP12,0.638955743
BSA11,DM11,0.887940682
BSA11,DM12,0.886300537
BSA11,DM13,0.823179556
BSA11,DM21,0.78812219
BSA11,DM22,0.724902585
BSA11,DM23,0.540697816
BSA11,DMG11,0.378637106
BSA11,FF11,0.43096936
BSA11,FP11,0.446505849
BSA11,FP12,0.293396919
BSA11,KU11,0.740502169
BSA11,LBH11,0.906723171
BSA11,LBH12,0.854766665
BSA11,LBH13,0.92906788
BSA11,LBH14,0.945529834
BSA11,LBH15,0.894967674
BSA11,LBH16,0.921586519
BSA11,LBH21,0.832355569
BSA11,LF11,0.82617044
BSA11,LF12,0.755168055
BSA11,LF13,0.588558673
BSA11,LF14,0.556683546
BSA11,LF15,0.558655048
BSA11,LF21,0.519765256
BSA11,LF22,0.499981535
BSA11,LF23,0.445756065
BSA11,M11,0.413842167
BSA11,M21,0.441133192
BSA11,M22,0.540249138
BSA11,M32,0.508656076
BSA11,M41,0.450510215
BSA11,M42,0.336529846
BSA11,M43,0.439286532
BSA11,M44,0.401794604
BSA11,M45,0.365189139
BSA11,M51,0.409588652
BSA11,M53,0.387986361
BSA11,M54,0.368355107
BSA11,M55,0.35752332
BSA11,M56,0.299505293
BSA11,MG11,0.411005301
BSA11,MG12,0.285743832
BSA11,MG13,0.369186567
BSA11,NF11,0.589146655
BSA11,NM11,0.765448907
BSA11,NM21,0.829284671
BSA11,PAD11,0.809229343
BSA11,PRP11,0.817529205
BSA11,SA11,0.345264693
BSA11,SA12,0.331635255
BSA11,SA21,0.220932048
BSA11,SA22,0.21469596
BSA11,SA31,0.294066419
BSA11,SA32,0.305886109
BSA11,SA33,0.243842978
BSA11,SA41,0.19953927
BSA11,SA42,0.225683723
BSA11,SA43,0.170305636
BSA11,UBH11,0.898017528
BSA11,UBH12,0.933265244
BSA11,UBH13,0.845862538
BSA11,UF11,0.450529851
BSA11,UF12,0.475864957
BSA11,UF13,0.435810213
BSA11,UF14,0.437910544
BSA11,UF15,0.434944452
BSA11,UF24,0.397966667
BSA11,UF25,0.37256666
BSA12,AP11,0.917519005
BSA12,BSA11,0.768169206
BSA12,BSA12,0.789645653
BSA12,CM11,0.887430695
BSA12,CM12,0.941609807
BSA12,CM13,0.9357222
BSA12,CM21,0.930249425
BSA12,CM22,0.924615033
BSA12,CM23,0.925410248
BSA12,CM24,0.872848942
BSA12,CM31,0.824814249
BSA12,CM32,0.73363937
BSA12,CM33,0.771284759
BSA12,CM34,0.635872941
BSA12,CM35,0.511221854
BSA12,CP11,0.673064888
BSA12,CP12,0.598186175
BSA12,DM11,0.935825395
BSA12,DM12,0.876311361
BSA12,DM13,0.785793583
BSA12,DM21,0.76034082
BSA12,DM22,0.668446734
BSA12,DM23,0.467850185
BSA12,DMG11,0.39327329
BSA12,FF11,0.384993049
BSA12,FP11,0.380436095
BSA12,FP12,0.232920398
BSA12,KU11,0.81208075
BSA12,LBH11,0.928170021
BSA12,LBH12,0.866328368
BSA12,LBH13,0.895201374
BSA12,LBH14,0.921993203
BSA12,LBH15,0.839392937
BSA12,LBH16,0.885701919
BSA12,LBH21,0.84203254
BSA12,LF11,0.741828189
BSA12,LF12,0.686991188
BSA12,LF13,0.505224429
BSA12,LF14,0.475278903
BSA12,LF15,0.478504947
BSA12,LF21,0.434987271
BSA12,LF22,0.415551524
BSA12,LF23,0.36507406
BSA12,M11,0.368554343
BSA12,M21,0.366616757
BSA12,M22,0.48285698
BSA12,M32,0.428357238
BSA12,M41,0.36941819
BSA12,M42,0.255948879
BSA12,M43,0.364682672
BSA12,M44,0.327191401
BSA12,M45,0.299255339
BSA12,M51,0.328979096
BSA12,M53,0.307320658
BSA12,M54,0.290390834
BSA12,M55,0.285180958
BSA12,M56,0.233304231
BSA12,MG11,0.391984315
BSA12,MG12,0.277514486
BSA12,MG13,0.35711695
BSA12,NF11,0.575209531
BSA12,NM11,0.83251095
BSA12,NM21,0.857896326
BSA12,PAD11,0.880120311
BSA12,PRP11,0.792568458
BSA12,SA11,0.265338479
BSA12,SA12,0.250798974
BSA12,SA21,0.157650937
BSA12,SA22,0.152072878
BSA12,SA31,0.218243862
BSA12,SA32,0.232350312
BSA12,SA33,0.180444818
BSA12,SA41,0.139861392
BSA12,SA42,0.162447282
BSA12,SA43,0.118603407
BSA12,UBH11,0.853921113
BSA12,UBH12,0.893634867
BSA12,UBH13,0.767013719
BSA12,UF11,0.364530443
BSA12,UF12,0.387076662
BSA12,UF13,0.352666776
BSA12,UF14,0.349753755
BSA12,UF15,0.348269431
BSA12,UF24,0.310263735
BSA12,UF25,0.287088637
CM11,AP11,0.79896297
CM11,BSA11,0.449624959
CM11,BSA12,0.494665623
CM11,CM11,0.786405536
CM11,CM12,0.901
CM11,CM13,0.796722274
CM11,CM21,0.81017202
CM11,CM22,0.788966973
CM11,CM23,0.787188876
CM11,CM24,0.752025984
CM11,CM31,0.726688169
CM11,CM32,0.65652979
CM11,CM33,0.661722262
CM11,CM34,0.556993176
CM11,CM35,0.464024241
CM11,CP11,0.670359052
CM11,CP12,0.600909264
CM11,DM11,0.901
CM11,DM12,0.780624276
CM11,DM13,0.724586465
CM11,DM21,0.744627855
CM11,DM22,0.634266673
CM11,DM23,0.414335717
CM11,DMG11,0.501399699
CM11,FF11,0.381574917
CM11,FP11,0.317627026
CM11,FP12,0.191039304
CM11,KU11,0.655087195
CM11,LBH11,0.719061217
CM11,LBH12,0.597810876
CM11,LBH13,0.657458248
CM11,LBH14,0.713688061
CM11,LBH15,0.663703027
CM11,LBH16,0.679780717
CM11,LBH21,0.558098712
CM11,LF11,0.56617997
CM11,LF12,0.571025397
CM11,LF13,0.420382145
CM11,LF14,0.395805793
CM11,LF15,0.412411068
CM11,LF21,0.346756297
CM11,LF22,0.333297001
CM11,LF23,0.27554625
CM11,M11,0.322358108
CM11,M21,0.272488756
CM11,M22,0.383688478
CM11,M32,0.304499505
CM11,M41,0.24029687
CM11,M42,0.138721576
CM11,M43,0.26347322
CM11,M44,0.243734655
CM11,M45,0.232692238
CM11,M51,0.196379625
CM11,M53,0.189976987
CM11,M54,0.191517222
CM11,M55,0.202084078
CM11,M56,0.166740135
CM11,MG11,0.449524999
CM11,MG12,0.347628696
CM11,MG13,0.387872264
CM11,NF11,0.619447554
CM11,NM11,0.666196628
CM11,NM21,0.600868207
CM11,PAD11,0.794274474
